Episode,Captured,Steps,Reward,CaptureRate,LR
1,0,7,-46.11,0.0,1.00e-04
2,0,39,-151.99,0.0,1.00e-04
3,0,120,-53.20,0.0,9.99e-05
4,0,120,-125.35,0.0,9.99e-05
5,0,120,-141.63,0.0,9.98e-05
7,0,120,-56.65,0.0,9.98e-05
8,0,120,-71.30,0.0,9.97e-05
9,0,22,-95.19,0.0,9.96e-05
10,0,25,-291.84,0.0,9.95e-05
11,0,25,-206.20,0.0,9.94e-05
12,0,120,-85.73,0.0,9.93e-05
13,0,120,-264.53,0.0,9.91e-05
14,0,120,-125.20,0.0,9.90e-05
15,0,116,-166.20,0.0,9.88e-05
16,0,120,-115.56,0.0,9.86e-05
17,0,58,-176.39,0.0,9.84e-05
18,0,26,-127.25,0.0,9.82e-05
19,0,120,-190.22,0.0,9.80e-05
20,0,120,-188.19,0.0,9.78e-05
21,0,120,-113.05,0.0,9.76e-05
22,0,43,-149.34,0.0,9.73e-05
23,0,84,-38.49,0.0,9.71e-05
24,0,120,-173.55,0.0,9.68e-05
25,0,19,-235.52,0.0,9.65e-05
26,0,120,-217.66,0.0,9.62e-05
27,0,120,-94.71,0.0,9.59e-05
28,0,24,-162.16,0.0,9.56e-05
29,0,3,-44.23,0.0,9.53e-05
30,0,107,-113.59,0.0,9.50e-05
31,0,120,-268.26,0.0,9.46e-05
32,0,120,-98.70,0.0,9.42e-05
33,0,120,-160.53,0.0,9.39e-05
34,0,120,-143.28,0.0,9.35e-05
35,0,53,-133.15,0.0,9.31e-05
36,0,89,-173.73,0.0,9.27e-05
37,0,18,-271.71,0.0,9.23e-05
38,0,42,-119.61,0.0,9.19e-05
39,0,120,-154.96,0.0,9.14e-05
40,0,3,-11.78,0.0,9.10e-05
41,0,120,-185.87,0.0,9.05e-05
42,0,120,-169.11,0.0,9.01e-05
43,0,120,-109.12,0.0,8.96e-05
44,0,120,-148.00,0.0,8.91e-05
45,0,12,-96.64,0.0,8.86e-05
46,0,120,-203.11,0.0,8.81e-05
47,0,120,-162.43,0.0,8.76e-05
48,0,120,-53.63,0.0,8.71e-05
49,0,44,-160.06,0.0,8.66e-05
50,0,120,-188.58,0.0,8.60e-05
51,0,120,-245.00,0.0,8.55e-05
52,0,120,-140.42,0.0,8.49e-05
53,0,120,-274.58,0.0,8.44e-05
54,0,120,-154.16,0.0,8.38e-05
55,0,2,-73.46,0.0,8.32e-05
56,0,120,-232.56,0.0,8.26e-05
57,0,120,-128.54,0.0,8.21e-05
58,0,120,-218.95,0.0,8.14e-05
59,0,120,-232.40,0.0,8.08e-05
60,0,64,-101.56,0.0,8.02e-05
61,0,120,-227.40,0.0,7.96e-05
62,0,120,-291.62,0.0,7.90e-05
63,0,2,-93.26,0.0,7.83e-05
64,0,120,-169.45,0.0,7.77e-05
65,0,120,-58.80,0.0,7.70e-05
66,0,51,-120.98,0.0,7.64e-05
67,0,2,-55.96,0.0,7.57e-05
68,0,45,-35.91,0.0,7.50e-05
69,0,4,-130.35,0.0,7.43e-05
70,0,120,-245.81,0.0,7.37e-05
71,0,120,-206.09,0.0,7.30e-05
72,0,120,-160.15,0.0,7.23e-05
73,0,24,-18.78,0.0,7.16e-05
74,0,120,-254.16,0.0,7.09e-05
75,0,80,-227.50,0.0,7.02e-05
76,0,120,-216.68,0.0,6.94e-05
77,0,44,-160.21,0.0,6.87e-05
78,0,12,-252.02,0.0,6.80e-05
79,0,120,-169.67,0.0,6.73e-05
80,0,120,-150.96,0.0,6.65e-05
81,0,120,-281.43,0.0,6.58e-05
82,0,9,-215.00,0.0,6.51e-05
83,0,117,-62.52,0.0,6.43e-05
84,0,120,-255.96,0.0,6.36e-05
85,0,28,-156.57,0.0,6.28e-05
86,0,114,-153.93,0.0,6.21e-05
87,0,4,-36.96,0.0,6.13e-05
88,0,18,-107.59,0.0,6.05e-05
89,0,120,11.77,0.0,5.98e-05
90,0,120,-189.54,0.0,5.90e-05
91,0,120,-91.15,0.0,5.82e-05
92,0,120,-201.74,0.0,5.75e-05
93,0,120,-90.71,0.0,5.67e-05
95,0,89,-93.82,0.0,5.59e-05
96,0,120,-132.00,0.0,5.52e-05
97,0,120,-247.06,0.0,5.44e-05
98,0,120,-56.92,0.0,5.36e-05
99,0,120,25.22,0.0,5.28e-05
100,0,9,-154.50,0.0,5.21e-05
101,0,120,-165.04,0.0,5.13e-05
102,0,120,-126.54,0.0,5.05e-05
103,0,6,-185.59,0.0,4.97e-05
104,0,120,-52.31,0.0,4.89e-05
105,0,120,-274.40,0.0,4.82e-05
106,0,21,-118.86,0.0,4.74e-05
107,0,120,-226.45,0.0,4.66e-05
108,0,120,-110.67,0.0,4.58e-05
109,0,15,-92.71,0.0,4.51e-05
110,0,120,-61.03,0.0,4.43e-05
111,0,2,-18.26,0.0,4.35e-05
112,0,120,-167.76,0.0,4.28e-05
113,0,120,83.16,0.0,4.20e-05
114,0,33,-185.36,0.0,4.12e-05
115,0,120,-52.07,0.0,4.05e-05
116,0,14,-179.55,0.0,3.97e-05
117,0,120,-229.54,0.0,3.89e-05
118,0,120,-204.61,0.0,3.82e-05
119,0,38,-210.77,0.0,3.74e-05
120,0,120,-134.11,0.0,3.67e-05
121,0,120,-272.60,0.0,3.59e-05
122,0,15,-166.23,0.0,3.52e-05
123,0,3,-119.32,0.0,3.45e-05
124,0,120,-113.07,0.0,3.37e-05
125,0,12,-167.58,0.0,3.30e-05
126,0,40,-85.65,0.0,3.23e-05
127,0,120,-74.63,0.0,3.16e-05
128,0,28,-63.81,0.0,3.08e-05
129,0,120,-282.65,0.0,3.01e-05
130,0,25,-31.16,0.0,2.94e-05
131,0,120,-143.74,0.0,2.87e-05
132,0,120,-200.35,0.0,2.80e-05
133,0,120,-132.93,0.0,2.73e-05
134,0,120,-154.89,0.0,2.67e-05
135,0,2,-75.05,0.0,2.60e-05
136,0,75,16.90,0.0,2.53e-05
137,0,12,-268.29,0.0,2.46e-05
138,0,52,-129.55,0.0,2.40e-05
139,0,120,-72.17,0.0,2.33e-05
140,0,120,-65.28,0.0,2.27e-05
141,0,19,-175.33,0.0,2.20e-05
142,0,22,-82.75,0.0,2.14e-05
143,0,120,-238.57,0.0,2.08e-05
144,0,120,-93.13,0.0,2.02e-05
145,0,17,-120.60,0.0,1.96e-05
146,0,120,-98.60,0.0,1.89e-05
148,0,120,-371.99,0.0,1.84e-05
149,0,26,-242.45,0.0,1.78e-05
