Episode,Captured,Steps,Reward,CaptureRate,LR
1,0,2,-34.67,0.0,1.00e-04
2,0,47,-212.23,0.0,1.00e-04
3,0,120,-39.60,0.0,9.99e-05
4,0,120,-169.76,0.0,9.99e-05
5,0,74,-52.22,0.0,9.98e-05
6,0,10,-76.67,0.0,9.98e-05
7,0,87,-79.28,0.0,9.97e-05
8,0,62,-182.10,0.0,9.96e-05
9,0,75,-209.99,0.0,9.95e-05
10,0,120,-296.01,0.0,9.94e-05
11,0,8,-54.21,0.0,9.93e-05
12,0,120,-111.20,0.0,9.91e-05
13,0,120,-267.55,0.0,9.90e-05
14,0,8,-55.98,0.0,9.88e-05
15,0,120,-283.70,0.0,9.86e-05
16,0,55,-109.61,0.0,9.84e-05
17,0,18,-77.24,0.0,9.82e-05
18,0,107,-274.19,0.0,9.80e-05
19,0,120,-303.31,0.0,9.78e-05
20,0,13,-57.55,0.0,9.76e-05
21,0,45,2.96,0.0,9.73e-05
22,0,120,-181.13,0.0,9.71e-05
23,0,20,-95.94,0.0,9.68e-05
24,0,16,-124.99,0.0,9.65e-05
25,0,7,-55.39,0.0,9.62e-05
26,0,14,-50.77,0.0,9.59e-05
27,0,31,-152.54,0.0,9.56e-05
28,0,120,-297.15,0.0,9.53e-05
29,0,2,-33.01,0.0,9.50e-05
30,0,16,-193.36,0.0,9.46e-05
31,0,120,-182.13,0.0,9.42e-05
32,0,120,-141.87,0.0,9.39e-05
33,0,20,-17.06,0.0,9.35e-05
34,0,10,-54.99,0.0,9.31e-05
35,0,120,-229.68,0.0,9.27e-05
36,0,120,-306.28,0.0,9.23e-05
37,0,2,-30.23,0.0,9.19e-05
38,0,120,-135.04,0.0,9.14e-05
39,0,25,-166.54,0.0,9.10e-05
40,0,120,-366.91,0.0,9.05e-05
41,0,17,-36.65,0.0,9.01e-05
42,0,120,-127.17,0.0,8.96e-05
43,0,120,-205.93,0.0,8.91e-05
44,0,120,-250.46,0.0,8.86e-05
45,0,12,-61.67,0.0,8.81e-05
47,0,6,-26.41,0.0,8.76e-05
48,0,21,-80.97,0.0,8.71e-05
49,0,120,-373.15,0.0,8.66e-05
50,0,120,-270.90,0.0,8.60e-05
51,0,120,-176.24,0.0,8.55e-05
52,0,120,-278.39,0.0,8.49e-05
53,0,4,-23.89,0.0,8.44e-05
54,0,28,-115.27,0.0,8.38e-05
55,0,5,-39.56,0.0,8.32e-05
