Episode,Captured,Steps,Reward,CaptureRate,LR
1,1,39,233.00,100.0,1.00e-04
2,0,8,5.33,50.0,1.00e-04
3,1,16,226.74,66.7,1.00e-04
4,1,63,172.93,75.0,1.00e-04
5,0,34,-27.63,60.0,1.00e-04
6,1,85,194.16,66.7,1.00e-04
7,0,3,-26.68,57.1,1.00e-04
8,1,50,193.93,62.5,1.00e-04
9,1,69,193.08,66.7,1.00e-04
10,1,72,198.87,70.0,1.00e-04
11,1,42,178.14,72.7,1.00e-04
12,1,60,199.54,75.0,1.00e-04
13,1,77,157.92,76.9,1.00e-04
14,1,11,205.69,78.6,1.00e-04
15,0,8,-10.43,73.3,1.00e-04
16,0,32,48.26,68.8,1.00e-04
17,0,8,4.45,64.7,1.00e-04
18,1,100,146.53,66.7,1.00e-04
19,0,3,-29.38,63.2,1.00e-04
20,0,4,-21.61,60.0,1.00e-04
21,1,79,219.26,61.9,1.00e-04
22,1,76,166.30,63.6,1.00e-04
23,1,97,134.44,65.2,1.00e-04
24,1,53,209.91,66.7,1.00e-04
25,0,7,-16.53,64.0,1.00e-04
26,1,52,204.03,65.4,1.00e-04
27,1,66,180.78,66.7,1.00e-04
28,1,52,186.43,67.9,1.00e-04
29,1,64,198.50,69.0,1.00e-04
30,1,45,190.94,70.0,1.00e-04
31,1,79,195.38,71.0,1.00e-04
32,1,43,207.51,71.9,1.00e-04
33,1,51,195.17,72.7,1.00e-04
34,1,40,249.01,73.5,1.00e-04
35,0,27,7.61,71.4,1.00e-04
36,1,11,207.75,72.2,1.00e-04
37,1,61,183.55,73.0,1.00e-04
38,1,83,167.75,73.7,1.00e-04
39,0,30,63.87,71.8,1.00e-04
40,1,59,174.24,72.5,1.00e-04
41,0,17,-23.73,70.7,1.00e-04
42,1,70,213.54,71.4,1.00e-04
43,1,72,167.95,72.1,1.00e-04
44,0,9,12.36,70.5,1.00e-04
45,1,74,169.33,71.1,1.00e-04
46,1,78,194.74,71.7,1.00e-04
47,0,4,-17.15,70.2,1.00e-04
48,0,9,-13.48,68.8,1.00e-04
49,0,14,11.39,67.3,1.00e-04
50,0,13,33.29,66.0,1.00e-04
51,0,2,-25.17,64.7,1.00e-04
52,1,77,170.37,65.4,1.00e-04
53,1,69,186.38,66.0,1.00e-04
54,0,4,-31.69,64.8,1.00e-04
55,1,46,172.49,65.5,1.00e-04
56,1,44,195.22,66.1,1.00e-04
57,0,3,-21.76,64.9,1.00e-04
59,1,57,190.44,64.4,1.00e-04
60,1,58,220.48,65.0,1.00e-04
61,1,45,178.48,65.6,1.00e-04
62,1,45,215.67,66.1,1.00e-04
63,0,25,-26.52,65.1,1.00e-04
64,1,21,217.91,65.6,1.00e-04
65,0,18,23.35,64.6,1.00e-04
66,1,50,181.80,65.2,1.00e-04
67,1,27,230.53,65.7,1.00e-04
68,1,79,186.46,66.2,1.00e-04
69,1,75,171.11,66.7,1.00e-04
70,1,67,226.45,67.1,1.00e-04
71,1,17,202.89,67.6,1.00e-04
72,1,59,224.91,68.1,1.00e-04
73,1,59,212.02,68.5,9.99e-05
74,1,33,227.55,68.9,9.99e-05
75,1,46,247.27,69.3,9.99e-05
76,1,36,207.58,69.7,9.99e-05
78,0,20,2.81,67.9,9.99e-05
79,1,52,226.36,68.4,9.99e-05
80,1,55,209.32,68.8,9.99e-05
81,0,35,27.46,67.9,9.99e-05
82,0,2,-30.81,67.1,9.99e-05
83,1,52,211.23,67.5,9.99e-05
84,0,53,75.69,66.7,9.99e-05
85,1,45,255.32,67.1,9.99e-05
86,1,33,234.99,67.4,9.99e-05
88,0,21,4.93,65.9,9.99e-05
89,0,2,-27.55,65.2,9.99e-05
90,1,54,220.99,65.6,9.99e-05
91,0,53,26.24,64.8,9.99e-05
92,1,37,223.62,65.2,9.99e-05
93,0,2,-30.05,64.5,9.99e-05
94,1,44,223.66,64.9,9.99e-05
95,0,34,62.16,64.2,9.99e-05
96,1,61,211.43,64.6,9.99e-05
97,0,26,13.11,63.9,9.99e-05
98,1,41,223.48,64.3,9.99e-05
99,0,11,-6.67,63.6,9.99e-05
100,0,42,85.48,63.0,9.99e-05
101,1,47,230.95,63.0,9.99e-05
102,0,9,-23.18,63.0,9.99e-05
103,0,11,-9.81,62.0,9.99e-05
104,1,47,199.28,62.0,9.99e-05
105,1,33,204.87,63.0,9.99e-05
106,1,58,227.22,63.0,9.99e-05
107,1,56,219.55,64.0,9.99e-05
108,1,49,224.16,64.0,9.99e-05
109,0,50,82.43,63.0,9.99e-05
110,1,66,210.46,63.0,9.99e-05
111,1,33,216.01,63.0,9.99e-05
112,1,75,230.30,63.0,9.99e-05
113,0,26,51.24,62.0,9.99e-05
114,1,74,228.73,62.0,9.99e-05
115,1,35,217.83,63.0,9.99e-05
116,0,46,73.64,63.0,9.99e-05
117,0,16,6.75,63.0,9.99e-05
118,1,52,231.61,63.0,9.99e-05
119,1,50,227.06,64.0,9.99e-05
120,1,48,214.62,65.0,9.99e-05
121,1,25,209.34,65.0,9.99e-05
122,1,43,211.05,65.0,9.99e-05
123,0,41,71.64,64.0,9.99e-05
124,0,6,-16.36,63.0,9.99e-05
125,1,44,244.74,64.0,9.99e-05
126,0,2,-25.22,63.0,9.99e-05
127,0,36,60.79,62.0,9.98e-05
128,1,41,222.18,62.0,9.98e-05
129,0,14,8.22,61.0,9.98e-05
130,0,4,-20.08,60.0,9.98e-05
131,0,23,22.69,59.0,9.98e-05
132,0,28,40.13,58.0,9.98e-05
133,0,10,-8.86,57.0,9.98e-05
134,0,24,43.70,56.0,9.98e-05
