Episode,Captured,Steps,Reward,CaptureRate,LR
1,0,17,-10.14,0.0,1.00e-04
2,0,42,45.83,0.0,1.00e-04
3,1,35,209.87,33.3,9.99e-05
4,1,42,242.29,50.0,9.99e-05
5,1,30,227.99,60.0,9.98e-05
6,0,2,-26.43,50.0,9.98e-05
7,0,24,21.59,42.9,9.97e-05
8,0,29,-8.36,37.5,9.96e-05
9,1,103,223.24,44.4,9.95e-05
10,1,20,210.52,50.0,9.94e-05
11,1,44,185.16,54.5,9.93e-05
12,1,32,232.94,58.3,9.91e-05
13,1,57,205.84,61.5,9.90e-05
14,1,34,239.64,64.3,9.88e-05
15,1,47,221.62,66.7,9.86e-05
16,1,49,234.81,68.8,9.84e-05
17,1,56,236.71,70.6,9.82e-05
18,1,42,221.53,72.2,9.80e-05
19,1,29,214.37,73.7,9.78e-05
20,1,30,217.67,75.0,9.76e-05
21,1,33,218.51,76.2,9.73e-05
22,1,42,194.85,77.3,9.71e-05
23,1,42,223.92,78.3,9.68e-05
24,1,30,220.52,79.2,9.65e-05
25,0,5,-20.85,76.0,9.62e-05
26,1,74,235.06,76.9,9.59e-05
27,0,104,41.11,74.1,9.56e-05
28,1,34,219.57,75.0,9.53e-05
29,0,9,-18.68,72.4,9.50e-05
30,1,52,232.25,73.3,9.46e-05
31,1,31,208.23,74.2,9.42e-05
32,1,82,224.09,75.0,9.39e-05
33,0,61,82.15,72.7,9.35e-05
34,1,38,216.67,73.5,9.31e-05
35,1,22,212.26,74.3,9.27e-05
36,1,34,215.13,75.0,9.23e-05
37,0,25,43.22,73.0,9.19e-05
38,0,30,-18.21,71.1,9.14e-05
39,1,46,244.78,71.8,9.10e-05
40,1,27,218.31,72.5,9.05e-05
41,1,40,239.69,73.2,9.01e-05
42,1,63,241.19,73.8,8.96e-05
43,1,27,218.31,74.4,8.91e-05
44,1,41,244.94,75.0,8.86e-05
45,1,61,246.29,75.6,8.81e-05
46,1,69,218.93,76.1,8.76e-05
47,1,102,198.42,76.6,8.71e-05
48,1,50,229.36,77.1,8.66e-05
49,1,46,249.25,77.6,8.60e-05
50,0,46,64.46,76.0,8.55e-05
51,1,53,226.05,76.5,8.49e-05
52,1,44,248.28,76.9,8.44e-05
53,1,75,234.04,77.4,8.38e-05
54,1,51,215.55,77.8,8.32e-05
55,0,22,13.00,76.4,8.26e-05
56,1,48,228.50,76.8,8.21e-05
57,1,52,213.65,77.2,8.14e-05
58,1,91,226.55,77.6,8.08e-05
59,1,27,237.33,78.0,8.02e-05
60,0,8,-3.18,76.7,7.96e-05
61,1,37,230.11,77.0,7.90e-05
62,1,35,210.75,77.4,7.83e-05
64,1,45,224.71,76.6,7.77e-05
65,0,14,-5.69,75.4,7.70e-05
66,0,13,-14.88,74.2,7.64e-05
67,1,36,236.54,74.6,7.57e-05
68,1,39,223.61,75.0,7.50e-05
69,0,33,-1.93,73.9,7.43e-05
70,1,58,253.53,74.3,7.37e-05
71,1,52,243.39,74.6,7.30e-05
72,0,61,58.25,73.6,7.23e-05
73,0,46,87.05,72.6,7.16e-05
74,1,28,222.53,73.0,7.09e-05
75,0,85,-16.43,72.0,7.02e-05
76,1,48,237.07,72.4,6.94e-05
77,1,19,229.36,72.7,6.87e-05
78,1,57,227.82,73.1,6.80e-05
79,0,27,49.93,72.2,6.73e-05
80,1,21,243.58,72.5,6.65e-05
81,1,48,216.62,72.8,6.58e-05
82,1,19,249.55,73.2,6.51e-05
83,1,38,261.49,73.5,6.43e-05
84,1,103,130.15,73.8,6.36e-05
85,1,92,256.80,74.1,6.28e-05
86,0,77,39.21,73.3,6.21e-05
87,0,42,65.96,72.4,6.13e-05
88,0,7,-23.16,71.6,6.05e-05
89,1,29,252.99,71.9,5.98e-05
90,1,60,229.63,72.2,5.90e-05
91,1,33,223.36,72.5,5.82e-05
92,1,22,221.13,72.8,5.75e-05
93,1,44,243.62,73.1,5.67e-05
94,1,27,213.69,73.4,5.59e-05
95,0,64,4.14,72.6,5.52e-05
96,0,19,-5.20,71.9,5.44e-05
97,1,22,227.81,72.2,5.36e-05
98,1,47,226.97,72.4,5.28e-05
99,1,51,260.36,72.7,5.21e-05
100,1,75,181.52,73.0,5.13e-05
101,1,57,243.70,74.0,5.05e-05
102,0,17,-20.59,74.0,4.97e-05
103,1,31,239.52,74.0,4.89e-05
104,1,30,262.99,74.0,4.82e-05
105,1,21,213.20,74.0,4.74e-05
106,1,52,207.64,75.0,4.66e-05
107,1,26,218.31,76.0,4.58e-05
108,1,37,225.30,77.0,4.51e-05
109,1,56,224.33,77.0,4.43e-05
110,1,81,219.34,77.0,4.35e-05
111,1,57,246.22,77.0,4.28e-05
112,0,21,25.48,76.0,4.20e-05
113,0,14,3.61,75.0,4.12e-05
114,1,101,218.39,75.0,4.05e-05
115,1,38,261.37,75.0,3.97e-05
116,1,26,236.73,75.0,3.89e-05
117,1,47,230.51,75.0,3.82e-05
118,1,64,239.57,75.0,3.74e-05
119,1,85,167.92,75.0,3.67e-05
120,1,28,208.05,75.0,3.59e-05
121,0,19,13.86,74.0,3.52e-05
122,1,48,195.25,74.0,3.45e-05
123,1,57,240.49,74.0,3.37e-05
124,1,69,247.73,74.0,3.30e-05
125,0,8,-11.46,74.0,3.23e-05
126,0,39,61.54,73.0,3.16e-05
127,0,18,10.36,73.0,3.08e-05
128,0,21,43.82,72.0,3.01e-05
129,0,77,-3.34,72.0,2.94e-05
130,1,37,265.43,72.0,2.87e-05
131,1,42,265.45,72.0,2.80e-05
132,1,67,208.51,72.0,2.73e-05
133,0,63,31.19,72.0,2.67e-05
134,1,26,222.93,72.0,2.60e-05
135,0,2,-26.94,71.0,2.53e-05
136,1,31,270.77,71.0,2.46e-05
137,0,2,-27.28,71.0,2.40e-05
138,0,9,-11.11,71.0,2.33e-05
139,0,66,9.60,70.0,2.27e-05
140,1,80,250.57,70.0,2.20e-05
141,1,95,179.45,70.0,2.14e-05
142,0,18,-25.23,69.0,2.08e-05
143,1,71,209.88,69.0,2.02e-05
144,1,55,223.00,69.0,1.96e-05
145,1,47,240.46,69.0,1.89e-05
146,1,25,206.55,69.0,1.84e-05
147,0,6,-34.59,68.0,1.78e-05
148,1,40,218.44,68.0,1.72e-05
149,0,31,60.35,67.0,1.66e-05
150,1,28,235.69,68.0,1.61e-05
151,1,87,213.57,68.0,1.55e-05
152,1,71,206.10,68.0,1.50e-05
153,0,38,85.17,67.0,1.44e-05
154,1,28,216.07,67.0,1.39e-05
155,1,59,236.45,68.0,1.34e-05
156,1,58,262.18,68.0,1.29e-05
157,1,46,234.91,68.0,1.24e-05
158,1,29,230.90,68.0,1.19e-05
159,0,24,40.99,67.0,1.14e-05
160,1,106,177.33,68.0,1.09e-05
161,0,3,-29.80,67.0,1.05e-05
162,0,19,18.55,66.0,1.00e-05
163,1,64,217.90,67.0,9.56e-06
164,0,10,-6.13,66.0,9.13e-06
165,1,61,235.99,67.0,8.71e-06
166,1,54,224.88,68.0,8.29e-06
167,0,12,-9.84,67.0,7.89e-06
168,0,22,9.84,66.0,7.50e-06
169,1,44,206.40,67.0,7.12e-06
170,0,27,53.54,66.0,6.75e-06
171,0,11,-25.14,65.0,6.40e-06
172,0,6,-11.07,65.0,6.05e-06
173,0,7,-26.85,65.0,5.71e-06
174,0,4,-26.83,64.0,5.39e-06
175,0,12,4.22,64.0,5.07e-06
176,1,94,197.17,64.0,4.77e-06
177,1,67,209.84,64.0,4.48e-06
178,1,38,254.15,64.0,4.20e-06
179,1,23,232.99,65.0,3.93e-06
180,0,20,-27.58,64.0,3.67e-06
181,0,58,-0.88,63.0,3.42e-06
182,1,40,263.26,63.0,3.19e-06
183,0,21,-12.97,62.0,2.97e-06
184,1,22,220.05,62.0,2.75e-06
185,0,99,15.90,61.0,2.56e-06
186,0,120,57.84,61.0,2.37e-06
187,1,57,210.00,62.0,2.19e-06
188,1,50,243.42,63.0,2.03e-06
189,0,19,-3.84,62.0,1.88e-06
190,1,59,200.78,62.0,1.74e-06
191,0,22,73.45,61.0,1.61e-06
192,1,40,207.24,61.0,1.49e-06
193,1,71,184.75,61.0,1.39e-06
194,1,37,223.84,61.0,1.30e-06
195,1,21,218.13,62.0,1.22e-06
196,0,5,-23.81,62.0,1.15e-06
197,1,26,246.22,62.0,1.10e-06
198,1,29,259.13,62.0,1.05e-06
200,1,29,250.35,61.0,1.02e-06
