Episode,Captured,Steps,Reward,CaptureRate,LR
1,0,120,-107.25,0.0,3.00e-04
2,0,120,-292.45,0.0,3.00e-04
3,0,120,-315.81,0.0,3.00e-04
4,0,120,-63.38,0.0,3.00e-04
5,0,120,-280.37,0.0,3.00e-04
6,0,120,-222.30,0.0,3.00e-04
7,0,120,-196.94,0.0,3.00e-04
8,0,120,-313.00,0.0,3.00e-04
9,0,120,-301.99,0.0,3.00e-04
10,0,120,-100.69,0.0,3.00e-04
11,0,120,-404.88,0.0,3.00e-04
12,0,120,-277.57,0.0,3.00e-04
13,0,120,-29.57,0.0,3.00e-04
14,0,120,-316.43,0.0,3.00e-04
15,0,120,-249.25,0.0,3.00e-04
16,0,120,-238.56,0.0,3.00e-04
17,0,120,-102.20,0.0,3.00e-04
18,0,120,-238.86,0.0,3.00e-04
19,0,120,-161.10,0.0,3.00e-04
20,0,120,-193.02,0.0,3.00e-04
21,0,120,-335.88,0.0,3.00e-04
22,0,120,-363.94,0.0,3.00e-04
23,0,120,-222.40,0.0,3.00e-04
24,0,120,-168.89,0.0,3.00e-04
25,0,120,-372.23,0.0,3.00e-04
26,0,120,-383.84,0.0,3.00e-04
27,0,120,-222.74,0.0,3.00e-04
28,0,120,-119.40,0.0,3.00e-04
29,0,120,-137.46,0.0,3.00e-04
30,0,120,-240.14,0.0,3.00e-04
31,0,120,-161.10,0.0,3.00e-04
32,0,120,99.82,0.0,3.00e-04
33,0,120,-149.89,0.0,3.00e-04
34,0,120,-295.17,0.0,3.00e-04
35,0,120,-254.61,0.0,3.00e-04
36,0,120,-489.05,0.0,3.00e-04
37,0,120,-361.78,0.0,3.00e-04
38,0,120,-203.38,0.0,3.00e-04
39,0,120,-281.98,0.0,3.00e-04
40,0,120,-477.50,0.0,3.00e-04
41,0,120,-256.18,0.0,3.00e-04
42,0,120,-71.02,0.0,3.00e-04
43,0,120,-351.67,0.0,3.00e-04
44,0,120,-259.83,0.0,3.00e-04
45,0,120,-224.53,0.0,3.00e-04
46,0,120,-207.16,0.0,3.00e-04
47,0,120,-376.44,0.0,3.00e-04
48,0,120,-307.54,0.0,3.00e-04
49,0,120,-382.00,0.0,3.00e-04
50,0,120,-131.63,0.0,3.00e-04
51,0,120,-189.52,0.0,3.00e-04
52,0,120,-291.90,0.0,3.00e-04
53,0,120,-200.12,0.0,2.99e-04
54,0,120,-289.87,0.0,2.99e-04
55,0,120,-321.51,0.0,2.99e-04
56,0,120,-269.04,0.0,2.99e-04
57,0,120,-274.52,0.0,2.99e-04
58,0,120,-225.00,0.0,2.99e-04
59,0,120,-303.81,0.0,2.99e-04
60,0,120,-483.43,0.0,2.99e-04
61,0,120,-224.46,0.0,2.99e-04
62,0,120,-103.97,0.0,2.99e-04
63,0,120,-334.29,0.0,2.99e-04
64,0,120,-295.54,0.0,2.99e-04
65,0,120,-339.54,0.0,2.99e-04
66,0,120,-351.38,0.0,2.99e-04
67,0,120,-191.95,0.0,2.99e-04
68,0,120,-364.01,0.0,2.99e-04
69,0,120,-343.05,0.0,2.99e-04
70,0,120,-51.04,0.0,2.99e-04
71,0,120,-251.59,0.0,2.99e-04
72,0,120,-335.31,0.0,2.99e-04
73,0,120,-320.78,0.0,2.99e-04
74,0,120,-293.82,0.0,2.99e-04
75,0,120,-287.51,0.0,2.99e-04
76,0,120,-371.85,0.0,2.99e-04
77,0,120,-111.89,0.0,2.99e-04
