Episode,Captured,Steps,Reward,CaptureRate,LR
1,0,120,-37.25,0.0,3.00e-04
2,0,120,-352.01,0.0,3.00e-04
3,0,120,-294.33,0.0,3.00e-04
4,0,120,-137.05,0.0,3.00e-04
5,0,120,-209.34,0.0,3.00e-04
6,0,120,-135.72,0.0,3.00e-04
7,0,120,-184.43,0.0,3.00e-04
8,0,120,-155.24,0.0,3.00e-04
9,0,120,36.64,0.0,3.00e-04
10,0,120,-158.48,0.0,3.00e-04
11,0,120,-240.80,0.0,3.00e-04
12,0,120,-100.85,0.0,3.00e-04
13,0,120,-268.86,0.0,3.00e-04
14,0,120,-134.22,0.0,2.99e-04
15,0,120,-227.56,0.0,2.99e-04
16,0,120,-153.77,0.0,2.99e-04
17,0,120,-135.48,0.0,2.99e-04
18,0,120,-175.60,0.0,2.99e-04
19,0,120,-174.87,0.0,2.99e-04
20,0,120,-160.57,0.0,2.99e-04
21,0,120,-313.89,0.0,2.99e-04
22,0,120,-253.59,0.0,2.99e-04
23,0,120,-117.36,0.0,2.98e-04
24,0,120,-188.71,0.0,2.98e-04
25,0,120,-228.25,0.0,2.98e-04
26,0,120,-300.69,0.0,2.98e-04
27,0,120,-176.73,0.0,2.98e-04
28,0,120,-316.76,0.0,2.98e-04
29,0,120,-311.14,0.0,2.98e-04
30,0,120,-160.73,0.0,2.97e-04
31,0,120,-284.59,0.0,2.97e-04
32,0,120,-268.66,0.0,2.97e-04
33,0,120,-227.38,0.0,2.97e-04
34,0,120,-241.56,0.0,2.97e-04
35,0,120,-259.18,0.0,2.96e-04
36,0,120,-300.38,0.0,2.96e-04
37,0,120,-168.73,0.0,2.96e-04
38,0,120,-254.66,0.0,2.96e-04
39,0,120,-127.34,0.0,2.96e-04
40,0,120,-241.25,0.0,2.95e-04
41,0,120,-202.54,0.0,2.95e-04
42,0,120,-268.81,0.0,2.95e-04
43,0,120,-120.51,0.0,2.95e-04
44,0,120,-196.23,0.0,2.94e-04
45,0,120,-253.99,0.0,2.94e-04
46,0,120,-180.07,0.0,2.94e-04
47,0,120,-208.16,0.0,2.94e-04
48,0,120,-296.78,0.0,2.93e-04
49,0,120,-149.75,0.0,2.93e-04
50,0,120,-209.44,0.0,2.93e-04
51,0,120,-282.88,0.0,2.92e-04
52,0,120,-266.01,0.0,2.92e-04
53,0,120,-273.53,0.0,2.92e-04
54,0,120,-149.89,0.0,2.92e-04
55,0,120,-162.39,0.0,2.91e-04
56,0,120,-214.39,0.0,2.91e-04
57,0,120,-116.98,0.0,2.91e-04
58,0,120,-118.67,0.0,2.90e-04
59,0,120,-193.42,0.0,2.90e-04
60,0,120,-284.04,0.0,2.90e-04
61,0,120,-130.35,0.0,2.89e-04
62,0,120,-262.41,0.0,2.89e-04
63,0,120,-242.72,0.0,2.89e-04
64,0,120,-250.02,0.0,2.88e-04
65,0,120,-231.76,0.0,2.88e-04
66,0,120,-159.72,0.0,2.87e-04
67,0,120,-239.33,0.0,2.87e-04
68,0,120,-66.91,0.0,2.87e-04
69,0,120,-202.56,0.0,2.86e-04
70,0,120,-188.76,0.0,2.86e-04
71,0,120,-174.77,0.0,2.85e-04
72,0,120,-217.75,0.0,2.85e-04
73,0,120,-190.26,0.0,2.85e-04
74,0,120,-283.05,0.0,2.84e-04
75,0,120,-163.16,0.0,2.84e-04
76,0,120,-163.36,0.0,2.83e-04
77,0,120,-218.46,0.0,2.83e-04
78,0,120,-266.14,0.0,2.83e-04
79,0,120,-273.27,0.0,2.82e-04
80,0,120,-289.53,0.0,2.82e-04
81,0,120,-217.37,0.0,2.81e-04
82,0,120,-301.13,0.0,2.81e-04
83,0,120,-105.00,0.0,2.80e-04
84,0,120,-314.11,0.0,2.80e-04
85,0,120,-269.52,0.0,2.79e-04
86,0,120,-315.90,0.0,2.79e-04
87,0,120,-286.28,0.0,2.78e-04
88,0,120,-94.26,0.0,2.78e-04
89,0,120,-187.32,0.0,2.77e-04
90,0,120,-151.71,0.0,2.77e-04
91,0,120,-250.43,0.0,2.76e-04
92,0,120,-167.34,0.0,2.76e-04
93,0,120,-189.50,0.0,2.75e-04
94,0,120,-263.14,0.0,2.75e-04
95,0,120,-185.44,0.0,2.74e-04
96,0,120,-255.93,0.0,2.74e-04
97,0,120,-315.53,0.0,2.73e-04
98,0,120,-253.39,0.0,2.73e-04
99,0,120,-109.55,0.0,2.72e-04
100,0,120,-350.16,0.0,2.72e-04
101,0,120,-154.23,0.0,2.71e-04
102,0,120,-183.30,0.0,2.71e-04
103,0,120,-174.97,0.0,2.70e-04
104,0,120,-98.38,0.0,2.69e-04
105,0,120,-144.70,0.0,2.69e-04
106,0,120,-261.76,0.0,2.68e-04
