Episode,Captured,Steps,Reward,CaptureRate,LR
1,0,120,-145.99,0.0,2.93e-04
2,0,120,-145.99,0.0,2.93e-04
3,0,120,-145.99,0.0,2.93e-04
4,0,120,-145.99,0.0,2.93e-04
5,0,120,-239.99,0.0,2.72e-04
6,0,120,-239.99,0.0,2.72e-04
7,0,120,-239.99,0.0,2.72e-04
8,0,120,-239.99,0.0,2.72e-04
9,0,120,-46.54,8.3,2.39e-04
10,1,16,-46.54,8.3,2.39e-04
11,0,120,-46.54,8.3,2.39e-04
12,0,120,-46.54,8.3,2.39e-04
13,0,120,-242.25,6.2,1.97e-04
14,0,120,-242.25,6.2,1.97e-04
15,0,120,-242.25,6.2,1.97e-04
16,0,120,-242.25,6.2,1.97e-04
17,0,120,-244.11,5.0,1.51e-04
18,0,120,-244.11,5.0,1.51e-04
19,0,120,-244.11,5.0,1.51e-04
20,0,120,-244.11,5.0,1.51e-04
21,0,120,-220.95,4.2,1.06e-04
22,0,120,-220.95,4.2,1.06e-04
23,0,120,-220.95,4.2,1.06e-04
24,0,120,-220.95,4.2,1.06e-04
25,0,120,-264.95,3.6,6.42e-05
26,0,120,-264.95,3.6,6.42e-05
27,0,120,-264.95,3.6,6.42e-05
28,0,120,-264.95,3.6,6.42e-05
29,0,120,-217.78,3.1,3.14e-05
30,0,120,-217.78,3.1,3.14e-05
31,0,120,-217.78,3.1,3.14e-05
32,0,120,-217.78,3.1,3.14e-05
33,0,120,-209.91,2.8,1.03e-05
34,0,120,-209.91,2.8,1.03e-05
35,0,120,-209.91,2.8,1.03e-05
36,0,120,-209.91,2.8,1.03e-05
37,0,120,-227.56,2.5,3.00e-06
38,0,120,-227.56,2.5,3.00e-06
39,0,120,-227.56,2.5,3.00e-06
40,0,120,-227.56,2.5,3.00e-06
