nohup: ignoring input
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:236: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
/root/miniconda3/lib/python3.12/site-packages/gymnasium/spaces/box.py:306: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Device: cuda
Loaded V4 NN: obs_dim=8, act_dim=3, hidden=(64, 64)
High-level: obs_dim=13, act_dim=2
[   10] CAUGHT | Steps=  72 | Reward= 198.87 | Rate= 70.0% | AvgR= 136.37 | LR=1.00e-04
[   20] MISSED | Steps=   4 | Reward= -21.61 | Rate= 60.0% | AvgR= 112.14 | LR=1.00e-04
[   30] CAUGHT | Steps=  45 | Reward= 190.94 | Rate= 70.0% | AvgR= 130.56 | LR=1.00e-04
[   40] CAUGHT | Steps=  59 | Reward= 174.24 | Rate= 72.5% | AvgR= 139.22 | LR=1.00e-04
[   50] MISSED | Steps=  13 | Reward=  33.29 | Rate= 66.0% | AvgR= 126.34 | LR=1.00e-04
[   60] CAUGHT | Steps=  58 | Reward= 220.48 | Rate= 65.0% | AvgR= 122.40 | LR=1.00e-04
[   70] CAUGHT | Steps=  67 | Reward= 226.45 | Rate= 67.1% | AvgR= 127.84 | LR=1.00e-04
[   80] CAUGHT | Steps=  55 | Reward= 209.32 | Rate= 68.8% | AvgR= 133.50 | LR=9.99e-05
[   90] CAUGHT | Steps=  54 | Reward= 220.99 | Rate= 65.6% | AvgR= 129.13 | LR=9.99e-05
[  100] MISSED | Steps=  42 | Reward=  85.48 | Rate= 63.0% | AvgR= 126.54 | LR=9.99e-05
  -> Best model saved: 63.0%
  -> Best model saved: 64.0%
[  110] CAUGHT | Steps=  66 | Reward= 210.46 | Rate= 63.0% | AvgR= 128.57 | LR=9.99e-05
[  120] CAUGHT | Steps=  48 | Reward= 214.62 | Rate= 65.0% | AvgR= 136.75 | LR=9.99e-05
  -> Best model saved: 65.0%
[  130] MISSED | Steps=   4 | Reward= -20.08 | Rate= 60.0% | AvgR= 129.68 | LR=9.98e-05
[  140] CAUGHT | Steps=  36 | Reward= 239.92 | Rate= 55.0% | AvgR= 120.48 | LR=9.98e-05
[  150] CAUGHT | Steps=  51 | Reward= 240.95 | Rate= 54.0% | AvgR= 120.67 | LR=9.98e-05
[  160] MISSED | Steps=  11 | Reward= -31.53 | Rate= 52.0% | AvgR= 118.10 | LR=9.98e-05
[  170] MISSED | Steps=   9 | Reward=  -5.55 | Rate= 50.0% | AvgR= 114.64 | LR=9.97e-05
[  180] CAUGHT | Steps=  26 | Reward= 227.98 | Rate= 48.0% | AvgR= 110.05 | LR=9.97e-05
[  190] MISSED | Steps=  18 | Reward=  19.26 | Rate= 49.0% | AvgR= 111.51 | LR=9.97e-05
[  200] CAUGHT | Steps=  84 | Reward= 215.61 | Rate= 53.0% | AvgR= 118.30 | LR=9.96e-05
[  210] MISSED | Steps=  10 | Reward= -22.40 | Rate= 49.0% | AvgR= 109.52 | LR=9.96e-05
[  220] MISSED | Steps=   6 | Reward= -17.27 | Rate= 49.0% | AvgR= 105.41 | LR=9.95e-05
[  230] CAUGHT | Steps=  94 | Reward= 192.31 | Rate= 52.0% | AvgR= 108.76 | LR=9.95e-05
[  240] CAUGHT | Steps=  85 | Reward= 166.83 | Rate= 55.0% | AvgR= 111.23 | LR=9.95e-05
[  250] CAUGHT | Steps=  34 | Reward= 235.43 | Rate= 57.0% | AvgR= 115.34 | LR=9.94e-05
[  260] MISSED | Steps=   6 | Reward= -28.55 | Rate= 55.0% | AvgR= 110.76 | LR=9.94e-05
[  270] MISSED | Steps=  58 | Reward=  30.81 | Rate= 53.0% | AvgR= 108.50 | LR=9.93e-05
[  280] CAUGHT | Steps=  59 | Reward= 213.61 | Rate= 52.0% | AvgR= 106.58 | LR=9.93e-05
[  290] MISSED | Steps=   8 | Reward= -20.33 | Rate= 51.0% | AvgR= 103.40 | LR=9.92e-05
[  300] MISSED | Steps=   6 | Reward= -22.10 | Rate= 49.0% | AvgR= 100.75 | LR=9.92e-05
[  310] MISSED | Steps=   6 | Reward= -22.73 | Rate= 51.0% | AvgR= 105.34 | LR=9.91e-05
[  320] MISSED | Steps=   6 | Reward= -13.71 | Rate= 50.0% | AvgR= 105.53 | LR=9.91e-05
[  330] CAUGHT | Steps=  62 | Reward= 206.79 | Rate= 47.0% | AvgR= 100.68 | LR=9.90e-05
[  340] MISSED | Steps=  46 | Reward=  -5.35 | Rate= 48.0% | AvgR= 104.84 | LR=9.89e-05
[  350] CAUGHT | Steps=  73 | Reward= 204.28 | Rate= 52.0% | AvgR= 112.44 | LR=9.89e-05
[  360] MISSED | Steps=   9 | Reward= -40.39 | Rate= 55.0% | AvgR= 119.62 | LR=9.88e-05
[  370] MISSED | Steps=  22 | Reward=   2.30 | Rate= 55.0% | AvgR= 118.05 | LR=9.87e-05
[  380] MISSED | Steps=  47 | Reward=   7.94 | Rate= 52.0% | AvgR= 112.36 | LR=9.87e-05
[  390] MISSED | Steps=   4 | Reward= -23.21 | Rate= 54.0% | AvgR= 117.79 | LR=9.86e-05
[  400] MISSED | Steps=  36 | Reward=  49.50 | Rate= 53.0% | AvgR= 113.63 | LR=9.85e-05
[  410] MISSED | Steps=   9 | Reward= -21.58 | Rate= 54.0% | AvgR= 115.39 | LR=9.85e-05
[  420] CAUGHT | Steps=  46 | Reward= 223.39 | Rate= 53.0% | AvgR= 113.95 | LR=9.84e-05
[  430] MISSED | Steps=  12 | Reward=   6.35 | Rate= 53.0% | AvgR= 114.36 | LR=9.83e-05
[  440] CAUGHT | Steps=  52 | Reward= 228.93 | Rate= 53.0% | AvgR= 115.68 | LR=9.82e-05
[  450] CAUGHT | Steps=  47 | Reward= 252.89 | Rate= 49.0% | AvgR= 107.03 | LR=9.81e-05
[  460] MISSED | Steps=  45 | Reward=  14.76 | Rate= 47.0% | AvgR= 104.76 | LR=9.81e-05
[  470] MISSED | Steps=   3 | Reward= -28.46 | Rate= 49.0% | AvgR= 108.55 | LR=9.80e-05
[  480] MISSED | Steps=  48 | Reward=  47.83 | Rate= 54.0% | AvgR= 119.22 | LR=9.79e-05
[  490] MISSED | Steps=  23 | Reward=  -5.38 | Rate= 51.0% | AvgR= 112.35 | LR=9.78e-05
[  500] CAUGHT | Steps=  55 | Reward= 214.04 | Rate= 53.0% | AvgR= 118.30 | LR=9.77e-05
[  510] MISSED | Steps=   4 | Reward= -24.12 | Rate= 49.0% | AvgR= 109.24 | LR=9.76e-05
