update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-0.25192453956154637,120.47141003608704,0.0,nan,nan
2,8192,-0.21423496314803855,64.96281427145004,0.0,-243.59596841899761,0.2
3,12288,-0.15678456285734838,282.680503487587,1.0,-332.16597624529925,0.0
4,16384,-0.21448577260015309,32.14935850352049,1.0,-267.88927243035215,0.1
5,20480,-0.16017596109722892,255.49978169053793,1.0,-79.26221277171672,0.6
6,24576,-0.1432617812259291,323.44531017541885,1.0,-79.26221277171672,0.6
7,28672,-0.08883600338344794,960.1089845895767,1.0,-81.21922735253565,0.7
8,32768,-0.17519967085012017,9.55026726052165,1.0,51.289808181094145,1.0
9,36864,0.054171096380286055,2178.5855894088745,1.0,71.20444368000905,1.0
10,40960,0.1291870662295612,2657.9720821380615,1.0,87.42822946530865,1.0
11,45056,0.04810196328827646,1924.790466785431,1.0,111.07914015061961,1.0
12,49152,0.0074111631966460485,1609.3788237571716,1.0,111.07914015061961,1.0
13,53248,-0.050404722008321565,1042.8109016418457,1.0,85.34882409792758,1.0
14,57344,0.14057407544176623,2585.4861793518066,1.0,111.57827657912037,1.0
15,61440,0.14292243207294442,2597.701274871826,1.0,129.06545642863347,1.0
16,65536,0.1644196537382711,2993.1869974136353,1.0,112.60903896502798,1.0
17,69632,0.1143499049079207,2202.235942840576,1.0,112.60903896502798,1.0
18,73728,0.1981303081534885,2786.609923362732,1.0,132.67309368872728,1.0
19,77824,0.19883153850826119,2755.7086868286133,1.0,125.76035613630543,1.0
20,81920,0.17930842949319598,2594.284490585327,1.0,120.32862379764951,1.0
21,86016,0.2714431863827209,3221.1046829223633,1.0,120.11510430084681,1.0
22,90112,0.43296467456933807,4164.574329376221,1.0,118.37050258730389,1.0
23,94208,0.49886726299100126,4637.87707901001,1.0,118.37050258730389,1.0
24,98304,0.3084462119343231,3052.4576416015625,1.0,123.40815507400218,1.0
25,102400,0.4215545003011473,3772.690532684326,1.0,138.98652189611363,1.0
26,106496,0.47713517573542286,3784.0914611816406,1.0,130.4624810045795,1.0
27,110592,0.35394586148261586,2956.6124153137207,1.0,113.00114822119542,1.0
28,114688,0.3970607857415125,3141.3138427734375,1.0,113.00114822119542,1.0
29,118784,0.4226739536780226,3174.4058589935303,1.0,129.2051156428475,1.0
30,122880,0.370042087852019,2837.689685821533,1.0,130.2820635127069,1.0
31,126976,0.5384325310871586,3597.4181480407715,1.0,136.7384046524788,1.0
32,131072,0.5102883150418274,3404.441270828247,1.0,144.54346550092777,1.0
33,135168,0.5114675014348706,3280.363868713379,1.0,146.3247525245689,1.0
34,139264,0.49502281234532497,2871.593517303467,1.0,146.3247525245689,1.0
35,143360,0.5670611925325947,3157.4541721343994,1.0,125.34496938452632,1.0
36,147456,0.5111783969158067,3075.4282035827637,1.0,133.34948662636842,1.0
37,151552,0.4491019844200713,2571.821964263916,1.0,129.1830360742974,1.0
38,155648,0.6304914695565176,3327.8342094421387,1.0,141.4794493885796,1.0
39,159744,0.6100034854382103,2958.5949630737305,1.0,141.4794493885796,1.0
40,163840,0.7857472588806094,3533.9267044067383,1.0,140.34540296594452,1.0
41,167936,0.5232421167955779,2661.0131759643555,1.0,142.2698717105421,1.0
42,172032,0.5697394189986476,2656.368528366089,1.0,143.64525649909558,1.0
43,176128,0.7622389608877485,3296.8011589050293,1.0,141.52257516908494,1.0
44,180224,0.43797132220289736,2103.7889518737793,1.0,140.20456678071088,1.0
45,184320,0.682548271604035,2975.8279972076416,1.0,140.20456678071088,1.0
46,188416,0.48698013382655747,2160.187110900879,1.0,142.5607198392151,1.0
47,192512,0.8509217629447132,3100.7161045074463,1.0,145.92152225299415,1.0
48,196608,0.44536929019608207,2006.00168800354,1.0,149.10467003186145,1.0
49,200704,0.6977584020390807,2564.9922008514404,1.0,146.1897459154798,1.0
50,204800,0.7493655270215562,2691.868907928467,1.0,146.1897459154798,1.0
51,208896,0.6907740807429807,2230.6753520965576,1.0,142.02686176975143,1.0
52,212992,0.5491714622281652,1977.0215530395508,1.0,132.2256735879096,1.0
53,217088,0.45209394028055894,1725.8903160095215,1.0,146.9985633741085,1.0
54,221184,0.5282243868758218,2003.6716270446777,1.0,146.04261206501093,1.0
