update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-0.22181237405096568,95.48969900608063,0.0,nan,nan
2,8192,-0.21055029151924454,66.36190927028656,0.0,-198.3991305890503,0.3
3,12288,-0.1527601533040893,285.26820227503777,1.0,-287.36825632304374,0.1
4,16384,-0.20520198611892587,25.858482129871845,1.0,-170.861147889163,0.4
5,20480,-0.125182148308015,674.3509270250797,1.0,-59.78823340023231,0.7
6,24576,-0.1416750257487446,278.0091774612665,1.0,-59.78823340023231,0.7
7,28672,-0.10479288534419488,717.3629153370857,1.0,-13.688326670600762,0.8
8,32768,-0.028681803324609387,1296.5772995948792,1.0,42.427756865074095,1.0
9,36864,-0.04775706713933728,1298.2837595939636,1.0,37.150352224129335,1.0
10,40960,0.0934081331159423,2356.404722213745,1.0,36.25817981534964,0.9
11,45056,-0.017777959168571347,1338.982082605362,1.0,54.10142752124598,0.9
12,49152,0.011594330521780959,1583.3312854766846,1.0,54.10142752124598,0.9
13,53248,-0.10101081616950869,615.5368003845215,1.0,49.59467886816446,1.0
14,57344,0.013192850817973653,1626.5942549705505,1.0,63.55075165544831,0.9
15,61440,0.005514565817927607,1646.395103931427,1.0,110.00325486122658,1.0
16,65536,0.20522801649148753,3214.633810043335,1.0,112.24937175644106,1.0
17,69632,0.21358622048999434,3215.9914474487305,1.0,112.24937175644106,1.0
18,73728,0.1913523712877322,2761.151773452759,1.0,70.62780230838202,0.9
19,77824,0.04801211056187547,1817.1139254570007,1.0,110.32548539260002,1.0
20,81920,0.22694961583080248,3049.123125076294,1.0,83.53118661546493,0.9
21,86016,0.18781530920251036,2705.2200469970703,1.0,70.52288708526189,0.9
22,90112,0.17727832735412613,2547.3838024139404,1.0,119.67955455921447,1.0
23,94208,0.14202273683905592,2171.713623046875,1.0,119.67955455921447,1.0
24,98304,0.27234941042711935,3013.024761199951,1.0,109.72727121300325,1.0
25,102400,0.19089200374001164,2477.242603302002,1.0,74.73946934295074,0.9
26,106496,0.2697663993928041,2907.0232830047607,1.0,123.99811149910256,1.0
27,110592,0.2681099020743997,2857.5279541015625,1.0,127.33842520196595,1.0
28,114688,0.3516352145647038,3160.6042861938477,1.0,127.33842520196595,1.0
29,118784,0.16681302842073562,1902.3677577972412,1.0,128.81124599113772,1.0
30,122880,0.324712236709751,2703.3612670898438,1.0,128.62489870230317,1.0
31,126976,0.3710039254433364,2674.2970085144043,1.0,97.99245429245005,1.0
32,131072,0.07710808883321464,1172.1454153060913,1.0,109.62990889630403,1.0
33,135168,0.19096483064521844,2074.5670433044434,1.0,136.13880218732555,1.0
34,139264,0.43605841720336663,2770.7328510284424,1.0,136.13880218732555,1.0
35,143360,0.40943749120011375,2617.4071617126465,1.0,137.39365288200588,1.0
36,147456,0.27317380875712005,1875.729561805725,1.0,120.28440758709,1.0
37,151552,0.5198925591013688,3135.175542831421,1.0,135.15866961353203,1.0
38,155648,0.3209045496749032,1988.3039960861206,1.0,140.00571880075174,1.0
39,159744,0.48675406764810814,2650.068555831909,1.0,140.00571880075174,1.0
40,163840,0.6011821154616303,2514.382318496704,1.0,138.92898763684832,1.0
41,167936,0.3773966222558154,1810.5283298492432,1.0,135.70672995958222,1.0
42,172032,0.5350244782427429,2275.9662113189697,1.0,143.0914759659609,1.0
43,176128,0.5637400370417684,2250.44842338562,1.0,121.13046849310604,1.0
44,180224,0.48548437665309885,2052.019947052002,1.0,140.65335574938777,1.0
45,184320,0.33975561114734065,1428.598298549652,1.0,140.65335574938777,1.0
46,188416,0.560855167759418,2113.361749649048,1.0,144.54459944062873,1.0
47,192512,0.6233989364785626,2060.8267993927,1.0,138.91554873563172,1.0
48,196608,0.40429391229193523,1521.61510181427,1.0,135.52293318525062,1.0
49,200704,0.57466274466517,2125.055362701416,1.0,105.16272659886909,1.0
50,204800,0.47805511076902985,1945.819501876831,1.0,105.16272659886909,1.0
51,208896,0.5928881805253172,2048.7989253997803,1.0,101.83823299980614,1.0
52,212992,0.6614371104474679,1681.1545085906982,1.0,140.9868011513148,1.0
53,217088,0.4630329561505033,1449.3565063476562,1.0,147.6604304666169,1.0
54,221184,0.7272302396470717,1679.260877609253,1.0,144.40635685452645,1.0
55,225280,0.7340112006602236,1627.6860313415527,1.0,147.2791009468806,1.0
56,229376,0.6801332258108284,1756.2696599960327,1.0,147.2791009468806,1.0
57,233472,0.7224787347618583,1083.5834531784058,1.0,147.45810285671857,1.0
58,237568,0.6414265342340956,1215.5253477096558,1.0,148.68438566650593,1.0
59,241664,0.8201393392711323,1194.3208532333374,1.0,151.21390144513404,1.0
60,245760,0.6794091227320316,829.9283485412598,1.0,151.20632894724875,1.0
61,249856,0.7898416928019453,982.6647539138794,1.0,151.20632894724875,1.0
62,253952,0.8339140388130405,882.1806221008301,1.0,151.66432718986533,1.0
63,258048,0.9818120837486999,998.2477197647095,1.0,152.0188990234831,1.0
64,262144,0.8789188898358724,794.4093732833862,1.0,152.99955967703994,1.0
65,266240,0.9360657123204945,881.1521415710449,1.0,155.03912119417862,1.0
66,270336,0.9948579423690798,703.7746505737305,1.0,152.8238234253143,1.0
67,274432,0.8807302146486784,807.7946357727051,1.0,152.8238234253143,1.0
68,278528,0.9288653652444645,648.4863500595093,1.0,151.4385439518002,1.0
69,282624,1.0777201346276801,652.070864200592,1.0,153.47703750984243,1.0
70,286720,0.9883633828390219,584.0662097930908,1.0,155.49877281847367,1.0
71,290816,0.9423211314967254,554.203097820282,1.0,110.34030072195091,0.9
72,294912,0.9786385150727684,608.877197265625,1.0,110.34030072195091,0.9
73,299008,1.094939600083976,498.46065521240234,1.0,154.86407369564716,1.0
74,303104,1.1902563271172308,507.2545552253723,1.0,153.60495393128002,1.0
75,307200,1.240879230045497,499.48690843582153,1.0,153.728357224822,1.0
76,311296,1.1150449901159663,451.4049973487854,1.0,155.18826382199012,1.0
77,315392,1.1539266340907592,507.352906703949,1.0,156.68003318725764,1.0
78,319488,1.1022351180688563,637.1440048217773,1.0,156.68003318725764,1.0
79,323584,1.2235038647577607,580.2291207313538,1.0,161.32835760548133,1.0
80,327680,1.1358404221184457,690.1554622650146,1.0,153.7303658685559,1.0
81,331776,1.2813800780594722,586.7074913978577,1.0,151.75918134030175,1.0
82,335872,1.1613078387720361,554.3708076477051,1.0,158.16270791210437,1.0
83,339968,1.236338425322053,480.8724899291992,1.0,158.16270791210437,1.0
84,344064,1.2809943639051058,627.7156944274902,1.0,155.6278044202083,1.0
85,348160,1.2639043360288658,654.8603386878967,1.0,157.13688873803954,1.0
86,352256,1.2967423511885545,517.265456199646,1.0,155.32309352859215,1.0
87,356352,1.2132743107503814,596.2987766265869,1.0,154.3424874276947,1.0
88,360448,1.4800466509525512,517.8625016212463,1.0,158.15761314158985,1.0
89,364544,1.2164277619886903,739.0359544754028,1.0,158.15761314158985,1.0
90,368640,1.2069636715196508,664.8615207672119,1.0,111.01796467328207,0.9
91,372736,1.313984043062028,564.1923351287842,1.0,161.98115814975225,1.0
92,376832,1.3463810372746234,610.6469259262085,1.0,141.38351219931573,1.0
93,380928,1.3445455064363936,640.7914180755615,1.0,157.67815867907171,1.0
94,385024,1.1199491851328816,672.3050260543823,1.0,152.16469827716122,1.0
95,389120,1.3596706095347348,533.9566798210144,1.0,152.16469827716122,1.0
96,393216,1.4396280939983195,529.2577495574951,1.0,159.16282952205304,1.0
97,397312,1.1215479092862697,728.6797819137573,1.0,158.44232146474678,1.0
98,401408,1.3883802368145783,520.3014340400696,1.0,154.5100037668112,1.0
99,405504,1.3362764915694583,642.9256100654602,1.0,156.95095374101498,1.0
100,409600,1.484737591638856,477.78122186660767,1.0,156.95095374101498,1.0
101,413696,1.3929833219969154,584.8262901306152,1.0,150.28714335468385,1.0
102,417792,1.2869893605713467,636.4076018333435,1.0,142.58612394543377,1.0
103,421888,1.1221525872162883,573.0266666412354,1.0,158.43958576596603,1.0
104,425984,1.2541969946430132,586.5564117431641,1.0,138.96007753511452,1.0
105,430080,1.1168762152989868,849.7904376983643,1.0,156.52413856142255,1.0
106,434176,1.3992813659106471,710.7885303497314,1.0,156.52413856142255,1.0
107,438272,1.602389018410876,421.35770750045776,1.0,118.41447984711294,0.9
108,442368,1.0852206402996756,589.8578038215637,1.0,118.88555272652675,0.9
109,446464,1.2506446850451898,622.6031064987183,1.0,158.29837735090243,1.0
110,450560,1.4051744519225404,574.6358022689819,1.0,158.76351989204295,1.0
111,454656,1.3774912802192143,541.37651014328,1.0,158.76351989204295,1.0
112,458752,1.4881337833847088,532.8472933769226,1.0,141.95600268647408,1.0
113,462848,1.2073415511229477,915.1325702667236,1.0,144.88944376069054,1.0
114,466944,1.3025279710172089,523.9908738136292,1.0,160.9609928819261,1.0
115,471040,1.452697433172479,545.4621424674988,1.0,157.579277321994,1.0
116,475136,1.2813562559880776,757.7370767593384,1.0,159.58519205910568,1.0
117,479232,1.322712447495158,594.1773962974548,1.0,159.58519205910568,1.0
118,483328,1.5385685101806863,363.30243849754333,1.0,160.99477312798598,1.0
119,487424,1.2744381015464097,710.1124773025513,1.0,157.75773642962832,1.0
120,491520,1.36000956020539,736.943886756897,1.0,159.50290924414284,1.0
121,495616,1.3191541738025154,769.5971899032593,1.0,158.74747196360553,1.0
122,499712,1.5211770172169294,642.0210361480713,1.0,158.74747196360553,1.0
123,503808,1.4481175966709774,428.21875381469727,1.0,119.52644419455046,0.9
124,507904,1.6061594683158864,345.42352962493896,1.0,155.28496835969702,1.0
125,512000,1.3316345437986996,582.9316964149475,1.0,155.1759272588294,1.0
126,516096,1.4168145000039856,584.931070804596,1.0,158.51576228738048,1.0
127,520192,1.5849238006748523,411.98395824432373,1.0,157.6884245801288,1.0
128,524288,0.9951744506315289,749.1255083084106,1.0,157.6884245801288,1.0
129,528384,1.0719398031486596,767.6848101615906,1.0,152.80647369137887,1.0
130,532480,1.2191302254599479,670.0743155479431,1.0,145.21619372462914,1.0
131,536576,1.5213501219032646,526.326611995697,1.0,160.06173850422124,1.0
132,540672,1.08884344470591,990.7186012268066,1.0,157.52384554328572,1.0
133,544768,1.2285450635533062,557.0466351509094,1.0,157.52384554328572,1.0
134,548864,1.1954414426160045,663.6620469093323,1.0,157.99493898306366,1.0
135,552960,1.170073807744484,661.7572531700134,1.0,159.66081050473016,1.0
