update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,0.005677053761744516,76606.34875488281,0.0,nan,nan
2,8192,-0.11778269554646492,69721.99530029297,1.0,375.97378499673687,0.1
3,12288,-0.7369886791570377,76563.11987304688,1.0,-300.82764597504996,0.2
4,16384,1.4321958104818,61948.31140136719,1.0,3239.7250394011803,0.6
5,20480,2.4423411988879136,55213.4111328125,1.0,3658.5945366074075,0.6
6,24576,1.004856868331435,60729.11212158203,1.0,3658.5945366074075,0.6
7,28672,2.597715411907155,73382.1019897461,1.0,2730.015642613972,0.9
8,32768,4.546086925976445,83166.75061035156,1.0,3775.009684382273,0.8
9,36864,2.1363421931089075,62037.55383300781,1.0,2943.12696307088,0.8
10,40960,1.8392500806361398,66388.81842041016,1.0,2566.721398347658,0.8
11,45056,3.43193333504209,74163.98425292969,1.0,1885.8759698874615,1.0
12,49152,3.725592167865751,68445.51831054688,1.0,1885.8759698874615,1.0
13,53248,2.792305081020243,57664.83135986328,1.0,3031.911387382058,0.9
14,57344,2.1390557112648008,66351.55975341797,1.0,2761.711911580706,1.0
15,61440,2.0172147220967034,65908.41125488281,1.0,2496.501381257637,0.9
16,65536,2.709010865132324,65750.57250976562,1.0,2248.252576722597,1.0
17,69632,3.7397370267987173,72261.92779541016,1.0,2248.252576722597,1.0
18,73728,4.207668956161115,69656.70623779297,1.0,2797.529543050253,1.0
19,77824,4.57731383953044,67896.74584960938,1.0,2529.25292912777,1.0
20,81920,4.638133150564446,60114.658630371094,1.0,2921.715436088659,1.0
21,86016,6.25532515447377,72680.26531982422,1.0,3045.473629698946,1.0
22,90112,4.986568221576105,56118.701171875,1.0,2366.795926635191,1.0
23,94208,5.449065711986955,56788.176818847656,1.0,2366.795926635191,1.0
24,98304,4.505624828046087,46875.092834472656,1.0,3067.3505618526497,1.0
25,102400,5.210122772644574,49304.15557861328,1.0,2737.9580803711756,1.0
26,106496,5.98810739304305,51448.65185546875,1.0,2871.935397174661,1.0
27,110592,5.714850523230966,53055.27087402344,1.0,2189.980998011471,1.0
28,114688,5.093458680593822,42685.63235473633,1.0,2189.980998011471,1.0
29,118784,5.476787725381671,46340.578552246094,1.0,2321.5622184287577,1.0
30,122880,5.471046270954317,39949.38693237305,1.0,2834.5776331718052,1.0
31,126976,4.918992745080401,40584.73129272461,1.0,2844.8076925610667,1.0
32,131072,6.14385173878419,39751.19708251953,1.0,1932.3370541865988,1.0
33,135168,5.218960462575345,37740.99475097656,1.0,1983.6899345789102,1.0
34,139264,5.89131785879658,41656.17938232422,1.0,1983.6899345789102,1.0
35,143360,5.193492035332313,35024.417388916016,1.0,1784.5503654259378,1.0
36,147456,6.0131509849665665,35607.26779174805,1.0,1900.6558527322536,1.0
37,151552,5.509221808987963,37974.48342895508,1.0,1680.8530399388615,1.0
38,155648,5.079810753178021,40120.76397705078,1.0,1841.2130614134658,1.0
39,159744,6.489467690435179,40431.33139038086,1.0,1841.2130614134658,1.0
40,163840,6.804223854458357,41298.10287475586,1.0,1529.2445270418175,1.0
41,167936,6.318610647425806,41906.575775146484,1.0,1604.5608162692656,1.0
42,172032,6.688268689255969,46569.97229003906,1.0,1364.0885151767066,1.0
43,176128,6.065745183046482,50599.73791503906,1.0,1880.046277229951,1.0
44,180224,6.260277691908316,49494.5732421875,1.0,1176.6539042230186,1.0
45,184320,6.462410819440423,47434.097564697266,1.0,1176.6539042230186,1.0
46,188416,6.260263780300313,53244.31378173828,1.0,1599.4760955705665,1.0
47,192512,5.327711704764994,46105.36248779297,1.0,1713.1953592493949,1.0
48,196608,6.6173811313877415,41449.693786621094,1.0,1703.7166675754718,1.0
49,200704,5.793445111846138,43764.08898925781,1.0,1465.8291025355127,1.0
50,204800,6.524406827553989,49506.86755371094,1.0,1465.8291025355127,1.0
51,208896,5.830467170847425,41807.64865112305,1.0,1459.023528912924,1.0
52,212992,5.814603360523673,39332.842864990234,1.0,1277.3066276843524,1.0
53,217088,6.485994119457595,44645.80242919922,1.0,1744.4964799886038,1.0
54,221184,6.04871950122126,44218.89929199219,1.0,1600.9910110477938,1.0
55,225280,6.578883812917316,47819.127380371094,1.0,1228.379160742983,1.0
56,229376,6.617500805473035,40061.784423828125,1.0,1228.379160742983,1.0
57,233472,6.66096143740803,44244.994384765625,1.0,1470.6427391241164,1.0
58,237568,6.77425300723967,39710.6842956543,1.0,1469.7888336252504,1.0
59,241664,6.054675225383692,44045.18765258789,1.0,1399.2194479798468,1.0
60,245760,5.752890728980804,46908.17712402344,1.0,1252.6201101536838,1.0
61,249856,6.341492592699154,49354.863220214844,1.0,1252.6201101536838,1.0
62,253952,6.343889885690497,40291.353942871094,1.0,1408.0531994929866,1.0
63,258048,6.49529089242001,40198.462005615234,1.0,1064.0086163441736,1.0
64,262144,5.964587349689389,46633.463806152344,1.0,1414.4362675201687,1.0
65,266240,5.403237181295573,41085.25436401367,1.0,1308.5958198647043,1.0
66,270336,6.643294532121087,34512.6162109375,1.0,1489.5117709403798,1.0
67,274432,5.424868026861885,36757.54406738281,1.0,1489.5117709403798,1.0
68,278528,6.049146759141357,43358.590393066406,1.0,1394.6103887720694,1.0
69,282624,6.356195377597,35065.73065185547,1.0,1308.4452672361915,1.0
70,286720,6.63636393875923,39599.162536621094,1.0,1164.7303497657672,1.0
71,290816,6.522108861402905,34060.745208740234,1.0,1085.794268374797,1.0
72,294912,6.332889484025451,39684.47445678711,1.0,1085.794268374797,1.0
73,299008,7.192684950928138,42123.93453979492,1.0,1279.6909487352584,1.0
74,303104,6.405242724642187,37130.85549926758,1.0,1537.4100140517648,1.0
75,307200,6.3937006436364,40841.03289794922,1.0,1020.3874362897934,1.0
76,311296,6.629001497349799,41135.412658691406,1.0,1579.7053775969814,1.0
77,315392,6.888554981453726,33178.628997802734,1.0,1260.5717732903609,1.0
78,319488,6.6177756189928125,27747.27032470703,1.0,1260.5717732903609,1.0
79,323584,6.409349081636984,29729.936920166016,1.0,1200.3232086899457,1.0
80,327680,6.459416167709656,29680.57147216797,1.0,1195.767757006542,1.0
81,331776,6.280420993008963,28451.839630126953,1.0,1160.6788654130735,1.0
82,335872,5.936246097651983,29382.722869873047,1.0,1444.5958371438899,1.0
83,339968,6.076084284783034,27188.622283935547,1.0,1444.5958371438899,1.0
84,344064,6.695525874978958,27790.73028564453,1.0,1232.5165316470816,1.0
85,348160,6.882762890855462,34263.919189453125,1.0,1386.4526187450558,1.0
86,352256,6.9393115277063036,31589.610260009766,1.0,1340.0915813357174,1.0
87,356352,6.865323101782914,27935.477081298828,1.0,1249.2335502105693,1.0
88,360448,6.796707298948526,27910.01025390625,1.0,1424.7836602657922,1.0
89,364544,7.027099481880098,25734.982299804688,1.0,1424.7836602657922,1.0
90,368640,6.567325860625434,24024.20523071289,1.0,1186.4668027717828,1.0
91,372736,7.056829050246527,24229.68928527832,1.0,1219.3681941314937,1.0
92,376832,6.139968130101723,24499.077362060547,1.0,1371.5036536446437,1.0
93,380928,5.063880035159911,20209.674072265625,1.0,1501.6895186803577,1.0
94,385024,5.806061468525691,19773.0322265625,1.0,1527.8879341312377,1.0
95,389120,5.700943657390122,19941.24444580078,1.0,1527.8879341312377,1.0
96,393216,6.102026654052212,21060.640182495117,1.0,1507.727399098726,1.0
97,397312,6.38291954596491,19226.04103088379,1.0,1291.6437673940252,1.0
98,401408,6.144186410908416,21489.177612304688,1.0,1486.7422845509725,1.0
99,405504,6.945762846679544,16110.55973815918,1.0,1353.182924609498,1.0
100,409600,6.827431717498714,17547.357315063477,1.0,1353.182924609498,1.0
101,413696,6.362936453264834,20174.080535888672,1.0,1341.6683649398246,1.0
102,417792,6.618462599110167,18303.642990112305,1.0,1286.620874768028,1.0
103,421888,6.531037914783029,14676.746765136719,1.0,1268.8611396969152,1.0
104,425984,6.623989528147259,14586.890975952148,1.0,1337.196870289008,1.0
105,430080,6.922198639491478,14109.170104980469,1.0,1304.0213511617033,1.0
106,434176,6.908126726008508,15694.313613891602,1.0,1304.0213511617033,1.0
107,438272,5.892702564461423,13587.203598022461,1.0,1094.7614082245957,1.0
108,442368,7.282970835134577,13492.04507446289,1.0,1207.7272345825936,1.0
109,446464,6.625153278692696,12936.703918457031,1.0,1316.6986524647714,1.0
110,450560,6.680216733964821,11561.603927612305,1.0,1507.8540775588224,1.0
111,454656,6.691776427561459,12290.281707763672,1.0,1507.8540775588224,1.0
112,458752,6.5432904305354995,11880.813018798828,1.0,1514.9075005545099,1.0
113,462848,6.894610887652443,10490.050033569336,1.0,1602.8610429790037,1.0
114,466944,6.600906843918101,10062.527694702148,1.0,1309.6044541759707,1.0
115,471040,6.515677914212857,8516.067611694336,1.0,1271.8867448109406,1.0
116,475136,7.39718358435514,7819.4105224609375,1.0,1116.6879898546904,1.0
117,479232,6.522837578786074,9247.369804382324,1.0,1116.6879898546904,1.0
118,483328,7.170213161370047,7388.146392822266,1.0,1321.2399006884712,1.0
119,487424,7.717594493072735,6801.144584655762,1.0,1221.077719989848,1.0
120,491520,6.801435128045303,7514.7358474731445,1.0,985.0284187459101,1.0
121,495616,7.32125397312552,7388.239418029785,1.0,1545.8130740476838,1.0
122,499712,6.539683109981419,10764.769485473633,1.0,1545.8130740476838,1.0
123,503808,6.662246146818765,9313.207679748535,1.0,1537.1716279313691,1.0
124,507904,6.317006340664943,9219.79409790039,1.0,1392.2911048036513,1.0
125,512000,6.50553495750928,10605.295997619629,1.0,1259.1957231404017,1.0
126,516096,7.101241041537959,6879.309211730957,1.0,1342.3985129960658,1.0
127,520192,6.91748977742488,8113.352569580078,1.0,1357.4591204318817,1.0
128,524288,6.2290147830272655,12307.343551635742,1.0,1357.4591204318817,1.0
