update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-1.344297432507119,4713.527214050293,0.0,nan,nan
2,8192,-1.3155861442119863,3847.9787406921387,0.0,-7007.289908718007,0.2
3,12288,-1.5862827186408912,6225.850364685059,0.0,-5742.188680961645,0.1
4,16384,-1.2973781480584927,3133.023822784424,0.0,-5769.526335326722,0.0
5,20480,-1.8268601416425523,6368.564849853516,0.0,-7128.774253812988,0.0
6,24576,-1.171166454928968,3274.2134895324707,0.0,-7128.774253812988,0.0
7,28672,-1.9306740977822918,4914.412311553955,0.0,-9502.333171080889,0.0
8,32768,-0.5487276282624843,301.9294171333313,0.0,-8380.486286777768,0.0
9,36864,-0.9320019713243148,628.0280907154083,0.0,-8390.665770761048,0.0
10,40960,-2.1504749088467596,2715.4452753067017,0.0,-9231.865596820491,0.0
11,45056,-1.1667657242881155,1128.2708039283752,0.0,-9944.335628510808,0.0
12,49152,-0.8361935345442315,105.8587090075016,0.0,-9944.335628510808,0.0
13,53248,-1.7488186395904268,745.9690542817116,0.0,-7752.97379845472,0.2
14,57344,-1.5868814789738726,1136.6759266853333,0.0,-9434.382291525002,0.1
15,61440,-1.4107032338744308,331.38816595077515,0.0,-6432.957698430609,0.0
16,65536,-2.167046920300721,526.3556174635887,0.0,-5897.88416140959,0.0
17,69632,-1.4862042858403102,235.91416990756989,0.0,-5897.88416140959,0.0
18,73728,-1.0475823572794392,235.65920370817184,0.0,-7006.957258324141,0.0
19,77824,-1.5356147035798668,222.32605078816414,0.0,-8442.394828135652,0.0
20,81920,-2.070406531162689,296.69817811250687,0.0,-5218.019421181744,0.2
21,86016,-1.6136004448309493,100.10996389389038,0.0,-6870.98497834546,0.1
22,90112,-1.2869459719498766,16.651248693466187,0.0,-4177.069047443033,0.0
23,94208,-2.13401670089638,148.5455020070076,0.0,-4177.069047443033,0.0
24,98304,-1.196365664826393,29.0319472104311,0.0,-5144.727920031693,0.1
25,102400,-1.3326219525880585,51.95997604727745,0.0,-7321.824117965179,0.0
26,106496,-0.8923859243025981,13.449200140312314,0.0,-5660.524387095332,0.0
27,110592,-2.086038618530187,15.137966893613338,0.0,-4765.679535666891,0.1
28,114688,-1.514399437275558,13.790574375540018,0.0,-4765.679535666891,0.1
29,118784,-0.7308543266807945,17.41787725687027,0.0,-3736.206678940164,0.0
30,122880,-1.971108301939914,20.14457333087921,0.0,-3776.259909172016,0.1
31,126976,-1.8455211024698932,8.203857582062483,0.0,-4706.184619296911,0.0
32,131072,-0.880232172114088,5.647742964327335,0.0,-2986.5724371112424,0.5
33,135168,-1.4927266713122929,9.18190322816372,0.0,-2007.5564920118698,0.3
34,139264,-1.104528747761432,8.010585363954306,0.0,-2007.5564920118698,0.3
35,143360,-1.074912948190783,15.893531687557697,0.0,-2303.424385447964,0.8
36,147456,-1.389277857384387,8.39267859607935,0.0,-1658.5673607350461,0.8
37,151552,-2.0653343667992488,22.656229704618454,0.0,-2189.4899077178425,0.9
38,155648,-1.0221101904217504,13.327853083610535,0.0,-2118.1942235239026,0.8
39,159744,-1.1178186682200453,28.763244315981865,0.0,-2118.1942235239026,0.8
40,163840,-1.8611857955595672,20.229562871158123,0.0,-1335.5696904359752,0.8
41,167936,-0.705393676878276,7.847575098276138,0.0,-1914.8319845854774,0.9
42,172032,-1.0973864724596827,11.69236496090889,0.0,-2151.0646372158285,0.7
43,176128,-1.731476751923643,28.03612917661667,0.0,-1458.8765407583971,0.8
44,180224,-1.0437935825537514,65.82300260663033,0.0,-2206.289788996921,0.9
45,184320,-0.6737468847222822,244.54742205142975,1.0,-2206.289788996921,0.9
46,188416,-0.9842940028244112,11.575552731752396,1.0,-1994.9726167634894,0.7
47,192512,-1.013903018412719,257.4967058002949,1.0,-1030.8424446518065,1.0
48,196608,-0.9989131093234033,10.714061163365841,1.0,-1265.4309267351914,0.8
49,200704,-0.9330714286260335,30.88548757135868,1.0,-2612.6316531862203,0.5
50,204800,-0.9937132350621567,237.26909291744232,1.0,-2612.6316531862203,0.5
51,208896,-0.9497330580831307,221.48028925061226,1.0,-810.8125245645689,0.8
52,212992,-1.0904948382641375,8.276585586369038,1.0,-896.6981966723237,0.7
53,217088,-1.2321698439488666,56.32916736602783,1.0,-1360.6792319435701,1.0
54,221184,-0.5596196086238248,226.67448468506336,1.0,-937.874429427639,1.0
55,225280,-0.9102496451700002,213.89144411683083,1.0,-530.346124122329,1.0
56,229376,-0.7391170621866588,182.15609948337078,1.0,-530.346124122329,1.0
57,233472,-0.5023179215631981,163.96883009374142,1.0,-716.655134836438,1.0
58,237568,-0.7785324679743213,248.21432235836983,1.0,-699.1513962055647,1.0
59,241664,-0.5612387113449294,164.97942796349525,1.0,-322.24120937693533,1.0
60,245760,-0.7460412210453014,349.20427173376083,1.0,-564.7174732504521,1.0
61,249856,-0.9622851270890157,187.96080952882767,1.0,-564.7174732504521,1.0
62,253952,-0.44429966830979456,483.32255470752716,1.0,-642.8115202354497,1.0
63,258048,-0.9397870285031203,159.24565275013447,1.0,-259.7235338832687,1.0
64,262144,-0.9390645103672008,142.32477042078972,1.0,-348.22833375589914,1.0
65,266240,-0.566289274254892,417.6473005414009,1.0,-393.64909039565043,1.0
66,270336,-0.3437382185499092,428.9338645339012,1.0,-278.4478203058484,1.0
67,274432,-0.970928155230067,144.14230172336102,1.0,-278.4478203058484,1.0
68,278528,-0.5929395081878532,358.7341910600662,1.0,-302.9865221414831,1.0
69,282624,-0.8671751691025269,175.9736530482769,1.0,-350.97494895341373,1.0
70,286720,-0.7371962860288195,289.88344475626945,1.0,-487.6240219055164,1.0
71,290816,-0.9112932453789568,123.10314606130123,1.0,-451.9573308638104,1.0
72,294912,-0.6663496123124393,466.4869887828827,1.0,-451.9573308638104,1.0
73,299008,-0.5647638977172581,348.7907431423664,1.0,-419.7229034560156,1.0
74,303104,-0.6776302983967689,351.06836318969727,1.0,-145.63324369672995,1.0
75,307200,-0.6170480415089058,195.3784407377243,1.0,-670.94773350327,1.0
76,311296,-0.7396918628220555,273.0334680080414,1.0,-244.65754189203804,1.0
77,315392,-1.0480646033973715,90.76249842345715,1.0,-347.9463906974377,1.0
78,319488,-1.0616917807606983,86.7596186697483,1.0,-347.9463906974377,1.0
79,323584,-0.7211583850046288,289.9346322417259,1.0,-699.1187424410911,1.0
80,327680,-0.19078835529675256,446.9383239746094,1.0,-172.57916081912785,1.0
81,331776,-0.880941925264062,259.3857536315918,1.0,-217.13233061616498,1.0
82,335872,-0.15080173070698139,366.37119138240814,1.0,-374.6904860472745,1.0
83,339968,-0.5690445559661137,225.03858530521393,1.0,-374.6904860472745,1.0
84,344064,-1.0623505839168512,201.4548118710518,1.0,-363.2371531547543,1.0
85,348160,-0.4857089229169681,244.99709749221802,1.0,-104.92239328473735,1.0
86,352256,-0.9373605206300715,121.19372421503067,1.0,-342.3156859429266,1.0
87,356352,-0.869797490548347,179.9088528752327,1.0,-354.06014133621386,1.0
88,360448,-0.6922532859346697,156.18472719192505,1.0,-364.7908452232569,1.0
89,364544,-0.7500770828159837,153.35063776373863,1.0,-364.7908452232569,1.0
90,368640,-0.7569729008461568,120.31239804625511,1.0,-248.39446670489838,1.0
91,372736,-0.8075300505799812,145.37986874580383,1.0,-185.00004794508686,1.0
92,376832,-0.7711785884796345,166.05349320173264,1.0,-520.3509857158624,1.0
93,380928,-0.7721759678165317,240.15586733818054,1.0,-183.73864756754338,1.0
94,385024,-0.6096660828038885,237.93874770402908,1.0,-335.04899305758613,1.0
95,389120,-0.7569473352109337,124.6318795979023,1.0,-335.04899305758613,1.0
96,393216,-0.7557091236345986,165.76517394185066,1.0,-354.55103126708275,1.0
97,397312,-0.9071324047321563,87.68068861961365,1.0,-487.18517814422904,1.0
98,401408,-0.8930191575302411,158.80915701389313,1.0,-594.6698727941223,1.0
99,405504,-0.9490191761337112,157.46522995829582,1.0,-213.7214087822255,1.0
100,409600,-0.9764693744906685,68.18213081359863,1.0,-213.7214087822255,1.0
101,413696,-0.6046424187508644,151.31819182634354,1.0,-258.02888672465446,1.0
102,417792,-0.4594313231462403,260.78005731105804,1.0,-304.9301627339827,1.0
103,421888,-0.5056709234110731,115.20566818118095,1.0,-325.71785028989734,1.0
104,425984,-0.6846773321650553,162.399753510952,1.0,-311.635859590203,1.0
105,430080,-0.535106496470561,233.85784190893173,1.0,-427.16092337868565,1.0
106,434176,-0.48011108633883404,229.5487197637558,1.0,-427.16092337868565,1.0
107,438272,-0.4221215996037796,181.63876527547836,1.0,-279.24858642887114,1.0
108,442368,-0.8977538007103417,36.94090411067009,1.0,-412.23307952190834,1.0
109,446464,-0.9953242939571193,73.2942570745945,1.0,-329.58822603162486,1.0
110,450560,-0.7164389678590504,91.40216356515884,1.0,-576.202457825711,1.0
111,454656,-0.94168858035798,64.00833961367607,1.0,-576.202457825711,1.0
112,458752,-0.8169517107256254,74.85966500639915,1.0,-319.8734453341307,1.0
113,462848,-0.7512281839702277,110.79566279053688,1.0,-197.33725660370763,1.0
114,466944,-0.7278955188672968,57.48123148083687,1.0,-218.9687607558063,1.0
115,471040,-0.9511003313350309,45.796267464756966,1.0,-282.74849470938113,1.0
116,475136,-0.9211497718106723,104.5898525416851,1.0,-269.58003909464617,1.0
117,479232,-0.9213851269278557,71.85271772742271,1.0,-269.58003909464617,1.0
118,483328,-0.7843193190754586,73.00852361321449,1.0,-520.2499290036861,1.0
119,487424,-0.9428553310026674,48.40770836174488,1.0,-306.4231835705336,1.0
120,491520,-0.6039033159839848,128.3407472372055,1.0,-483.5008779526506,1.0
121,495616,-0.958667854518213,37.94883942604065,1.0,-230.11798442880905,1.0
122,499712,-0.4609086651744553,127.99777752161026,1.0,-230.11798442880905,1.0
123,503808,-0.5547565343093556,79.74437108635902,1.0,-406.9285237646013,1.0
124,507904,-0.7074124066593293,64.50789007544518,1.0,-474.56874661241517,1.0
125,512000,-0.7731582857984307,70.5350786447525,1.0,-494.98258719161504,1.0
126,516096,-0.684190633811036,75.98240065574646,1.0,-370.63112682292206,1.0
127,520192,-0.7350605453669923,94.37245100736618,1.0,-484.8643410665346,1.0
128,524288,-0.827982056856084,72.10809940099716,1.0,-484.8643410665346,1.0
129,528384,-0.47329357217012136,78.3445235490799,1.0,-425.5990355969361,1.0
130,532480,-0.5813396675258049,109.13180249929428,1.0,-219.86998792358267,1.0
131,536576,-1.1788574056852825,47.91868917644024,1.0,-526.8180017670127,1.0
132,540672,-0.5426084926271891,63.1583406329155,1.0,-416.3373042500707,1.0
133,544768,-0.7713737451860705,75.28458288311958,1.0,-416.3373042500707,1.0
134,548864,-0.8590403184302275,36.62000481784344,1.0,-146.47899967551194,1.0
