update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-2.0308219822871654,9329.522369384766,0.0,,
2,8192,-1.8910317409013182,7899.866287231445,0.0,-8494.25161872269,0.0
3,12288,-2.538216571884792,13263.15966796875,0.0,-7814.719966443731,0.0
4,16384,-2.155149843432716,9515.63883972168,0.0,-8114.675877223692,0.0
5,20480,-2.3123844269884963,9177.434837341309,0.0,-8340.281625327034,0.0
6,24576,-2.102149947045649,7017.985618591309,0.0,-8340.281625327034,0.0
7,28672,-1.9560209470841758,5566.066650390625,0.0,-9254.52281229946,0.0
8,32768,-2.4171511515373254,7533.248085021973,0.0,-8063.861259346767,0.0
9,36864,-2.2298287531780634,5028.931957244873,0.0,-8955.25762608388,0.0
10,40960,-2.4035963894879995,4369.107326507568,0.0,-7847.979368250439,0.0
11,45056,-1.9493707972465422,2343.4671812057495,0.0,-8321.585151697105,0.0
12,49152,-1.959001715784352,1499.4938974380493,0.0,-8321.585151697105,0.0
13,53248,-2.0644297468501107,915.3099582195282,0.0,-8243.641605591274,0.0
14,57344,-2.1248970577276305,898.8788449764252,0.0,-8818.091104047106,0.0
15,61440,-1.9830257712414086,747.1463665962219,0.0,-7822.827995476638,0.0
16,65536,-2.2042891820986483,484.172976732254,0.0,-8368.005819110762,0.0
17,69632,-2.3444574377483924,473.46774911880493,0.0,-8368.005819110762,0.0
18,73728,-2.3464837376346033,328.0482144355774,0.0,-8315.064723640153,0.0
19,77824,-1.8686383017750918,286.2112374305725,0.0,-9565.222408657824,0.0
20,81920,-1.7648725364177127,342.40374851226807,0.0,-8510.351921325564,0.0
21,86016,-1.8240272016901227,246.4983332157135,0.0,-7909.140698945093,0.0
22,90112,-2.247451473848362,199.90465307235718,0.0,-8866.85925111164,0.0
23,94208,-1.7875100984119228,99.87020015716553,0.0,-8866.85925111164,0.0
24,98304,-2.1849945680591434,360.08285546302795,0.0,-9586.62102908859,0.0
25,102400,-1.7692977885865746,200.47942399978638,0.0,-8404.27803494268,0.0
26,106496,-2.127578305807374,349.1680678129196,0.0,-8156.09238646779,0.0
27,110592,-2.658271682175486,321.9297786951065,0.0,-7918.619949292368,0.0
28,114688,-1.5467194070346653,246.84745407104492,0.0,-7918.619949292368,0.0
29,118784,-2.3526067537822355,362.5224063396454,0.0,-8047.029907258329,0.0
30,122880,-2.340881088771633,105.1145281791687,0.0,-9425.41893926794,0.0
31,126976,-1.9978912136602536,321.075457572937,0.0,-8512.943764169559,0.0
32,131072,-2.28395700008095,234.70310950279236,0.0,-7775.842593577098,0.0
33,135168,-2.053890536820867,136.7114975452423,0.0,-9333.32603124034,0.0
34,139264,-2.0112867798863325,95.39792400598526,0.0,-9333.32603124034,0.0
35,143360,-2.1586240254675255,88.76122659444809,0.0,-8694.149378721195,0.0
36,147456,-2.090625693233558,100.35516262054443,0.0,-8947.024858124509,0.0
37,151552,-2.0783730399394065,183.46597909927368,0.0,-7845.561503563273,0.0
38,155648,-2.1289997672377803,188.952538728714,0.0,-8204.558913039473,0.0
39,159744,-2.373977820232474,92.57747685909271,0.0,-8204.558913039473,0.0
40,163840,-2.1337354224657665,77.18825650215149,0.0,-8608.210169480173,0.0
41,167936,-2.7509169773737847,89.84960746765137,0.0,-8166.75332093492,0.0
42,172032,-2.232048128366185,126.81245923042297,0.0,-8447.870864024411,0.0
43,176128,-2.23772272265892,79.11568975448608,0.0,-8858.581790540502,0.0
44,180224,-2.2851166214876066,94.83429688215256,0.0,-8804.726781898187,0.0
45,184320,-2.401823360951533,103.22042834758759,0.0,-8804.726781898187,0.0
46,188416,-2.2056780423400286,69.1462499499321,0.0,-7960.207937187826,0.0
47,192512,-2.303889762632799,99.60761034488678,0.0,-8093.859787359002,0.0
48,196608,-2.067357081014954,96.89510691165924,0.0,-7809.489633653699,0.0
49,200704,-2.059796227719035,70.87845778465271,0.0,-8009.318918284087,0.0
50,204800,-2.1509091658206794,52.74301439523697,0.0,-8009.318918284087,0.0
51,208896,-1.982349789657661,86.82416832447052,0.0,-8069.048121239194,0.0
52,212992,-2.106884192244039,91.50123435258865,0.0,-8688.989640195516,0.0
53,217088,-2.1426877184887214,68.87469446659088,0.0,-7328.382065111672,0.0
54,221184,-2.4314209257692063,58.97127079963684,0.0,-8068.085681839113,0.0
55,225280,-2.287588037354904,61.45304423570633,0.0,-8573.887343944913,0.0
56,229376,-2.178971366296196,57.07059460878372,0.0,-8573.887343944913,0.0
57,233472,-2.1989746854652323,57.18842530250549,0.0,-7602.626123682489,0.0
58,237568,-2.147523516769952,93.35282903909683,0.0,-8184.060860607249,0.0
59,241664,-2.3537156154987766,50.86001169681549,0.0,-8330.233132718706,0.0
60,245760,-2.0717039470371224,63.957330882549286,0.0,-8124.45983520953,0.0
61,249856,-1.9600613275400798,101.28681683540344,0.0,-8124.45983520953,0.0
62,253952,-2.1168922495152884,78.2005222439766,0.0,-9196.881569922818,0.0
63,258048,-1.992592470803028,59.53000766038895,0.0,-7828.075756753031,0.0
64,262144,-2.2962868716145777,46.32528626918793,0.0,-9179.91694300622,0.0
65,266240,-2.144129033452808,67.87557685375214,0.0,-8179.970926257649,0.0
66,270336,-2.229488419661178,79.09899771213531,0.0,-9126.694622809706,0.0
