update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-2.0272546672964538,9256.008514404297,0.0,,
2,8192,-1.8823270402499608,7787.143226623535,0.0,-7664.671574411956,0.0
3,12288,-2.291879006024403,10921.965713500977,0.0,-8141.923488018986,0.0
4,16384,-2.028483305626314,8103.545356750488,0.0,-7642.65885753275,0.0
5,20480,-1.981736933890187,6833.969444274902,0.0,-8760.943333347315,0.0
6,24576,-1.8844096079150017,5982.693641662598,0.0,-8760.943333347315,0.0
7,28672,-1.5872557245346612,3245.565465927124,0.0,-8217.222515952217,0.0
8,32768,-2.060941966560965,5318.809921264648,0.0,-8799.72837759789,0.0
9,36864,-2.0621118267692395,4019.513759613037,0.0,-8313.262538990628,0.0
10,40960,-2.323092504240397,4184.849021911621,0.0,-8936.785967820424,0.0
11,45056,-2.1697174917997284,2833.541781425476,0.0,-7017.412940306598,0.0
12,49152,-2.2349441108388985,1964.4357070922852,0.0,-7017.412940306598,0.0
13,53248,-2.0587084065430066,897.6095154285431,0.0,-7485.918515698768,0.0
14,57344,-2.2215950498116643,826.5643899440765,0.0,-9223.240371289841,0.0
15,61440,-2.167876406378127,660.3330354690552,0.0,-9644.164477583205,0.0
16,65536,-1.720127570756135,589.8979814052582,0.0,-8952.082959968267,0.0
17,69632,-2.3916558671494963,773.0046784877777,0.0,-8952.082959968267,0.0
18,73728,-1.8566937668017425,381.7859320640564,0.0,-9160.927729657182,0.0
19,77824,-2.056567408493966,303.72595620155334,0.0,-9126.41192450355,0.0
20,81920,-2.206308047896914,637.9210047721863,0.0,-9175.901456729547,0.0
21,86016,-2.266591713060503,661.0369899272919,0.0,-9107.31641114265,0.0
22,90112,-2.4902948739392685,448.67361211776733,0.0,-8142.7830676658505,0.0
23,94208,-1.7268178034926667,175.62808907032013,0.0,-8142.7830676658505,0.0
24,98304,-2.1128755128677943,112.7179337143898,0.0,-9430.908938508439,0.0
25,102400,-1.8113285223113484,132.90860986709595,0.0,-8065.2944280647225,0.0
26,106496,-2.419807704956676,301.3015465736389,0.0,-8297.840409958537,0.0
27,110592,-1.7319939558400574,188.99983751773834,0.0,-8623.762542686616,0.0
28,114688,-2.2848245765508617,164.80924081802368,0.0,-8623.762542686616,0.0
29,118784,-2.209983038379913,181.68874073028564,0.0,-9796.965829073253,0.0
30,122880,-2.296472701913997,146.66139256954193,0.0,-7866.2339586155795,0.0
31,126976,-1.989703999015814,195.3624303340912,0.0,-8055.227944967034,0.0
32,131072,-2.148917241652286,122.73431384563446,0.0,-8863.845485370606,0.0
33,135168,-2.237424539011323,163.19667673110962,0.0,-9145.189266666062,0.0
34,139264,-2.254453507540309,191.66268968582153,0.0,-9145.189266666062,0.0
35,143360,-2.485053505433563,85.6292793750763,0.0,-9051.67245075335,0.0
36,147456,-2.170202362866057,57.08334594964981,0.0,-9564.165350732655,0.0
37,151552,-2.206131145822367,139.50013506412506,0.0,-8746.658565777321,0.0
38,155648,-2.342891716933454,73.06602710485458,0.0,-9646.054507542653,0.0
39,159744,-2.5048678999126714,126.1664229631424,0.0,-9646.054507542653,0.0
40,163840,-2.3325842893614945,37.65325412154198,0.0,-9245.003109124968,0.0
41,167936,-1.7405065837818228,112.52426624298096,0.0,-9640.121420225903,0.0
42,172032,-2.197592906049839,77.53114694356918,0.0,-8967.439884167137,0.0
43,176128,-2.3285916213978752,67.22706979513168,0.0,-9464.767500872771,0.0
44,180224,-2.2587735614002726,77.46386289596558,0.0,-8589.713694547934,0.0
45,184320,-2.2084402732275104,51.90257167816162,0.0,-8589.713694547934,0.0
46,188416,-2.284420592826682,62.296642780303955,0.0,-8531.447903966822,0.0
47,192512,-2.3023385323640895,56.75519895553589,0.0,-9547.859374753885,0.0
48,196608,-2.1689786058394747,53.09982842206955,0.0,-8790.840719208047,0.0
49,200704,-2.474944167573102,83.0851114988327,0.0,-8679.445942223329,0.0
50,204800,-2.312432096919598,46.952109307050705,0.0,-8679.445942223329,0.0
51,208896,-1.989967985083186,68.41386532783508,0.0,-9538.344136664771,0.0
52,212992,-2.2040011862268423,49.20113795995712,0.0,-9252.68374016681,0.0
53,217088,-2.472573671878754,74.34432053565979,0.0,-8663.349695829933,0.0
54,221184,-2.007757382682949,51.060891687870026,0.0,-8332.073187783755,0.0
55,225280,-2.107182652820133,73.84292209148407,0.0,-8675.157026998222,0.0
56,229376,-2.2266674586380693,54.699433863162994,0.0,-8675.157026998222,0.0
57,233472,-2.25598631839701,67.90177029371262,0.0,-8261.121257941639,0.0
58,237568,-2.508556068540549,44.42724257707596,0.0,-8039.653700704106,0.0
59,241664,-2.4479684043854077,65.10312110185623,0.0,-9201.74236713262,0.0
60,245760,-2.3600081670715234,63.94137781858444,0.0,-9066.147848971996,0.0
61,249856,-2.171728459448421,58.50845116376877,0.0,-9066.147848971996,0.0
62,253952,-2.188371668293315,54.01583957672119,0.0,-9108.407063090617,0.0
63,258048,-2.0852775908871255,47.004198998212814,0.0,-8388.20712199601,0.0
64,262144,-2.172181539618563,42.648328959941864,0.0,-7710.635004661161,0.0
65,266240,-2.1561921926555128,65.85508465766907,0.0,-8391.569158554998,0.0
66,270336,-1.9167720834402409,45.661673188209534,0.0,-8899.388665463415,0.0
67,274432,-2.09808462855083,33.913991540670395,0.0,-8899.388665463415,0.0
68,278528,-2.5661461614958063,46.94337993860245,0.0,-9522.97928159295,0.0
69,282624,-2.223988549073457,47.09232613444328,0.0,-8802.870567412063,0.0
70,286720,-2.517587129033286,47.03976535797119,0.0,-9389.446677535045,0.0
71,290816,-2.1129702302435085,59.14831018447876,0.0,-8542.487309920067,0.0
72,294912,-2.4500899738133803,41.873696982860565,0.0,-8542.487309920067,0.0
73,299008,-2.042721590423748,67.53574639558792,0.0,-8836.668319312237,0.0
74,303104,-2.391464933627586,51.27825218439102,0.0,-8697.795851465435,0.0
75,307200,-2.282412174434994,87.20541447401047,0.0,-8887.871619522837,0.0
76,311296,-1.8961092083008082,75.75087344646454,0.0,-8113.30486261473,0.0
77,315392,-2.70133089975742,29.650281816720963,0.0,-9006.428332083273,0.0
78,319488,-2.1836007922562164,44.64965769648552,0.0,-9006.428332083273,0.0
79,323584,-2.321557909775442,33.99195182323456,0.0,-9772.50620519902,0.0
80,327680,-2.3204854774666352,30.509066700935364,0.0,-9001.525130832768,0.0
81,331776,-2.3007891878311217,26.289897739887238,0.0,-8618.613877977023,0.0
82,335872,-2.0885177684890035,54.538397043943405,0.0,-8405.780734631055,0.0
83,339968,-2.1316095966855055,34.96537774801254,0.0,-8405.780734631055,0.0
84,344064,-2.5522874378643183,47.62188285589218,0.0,-8086.714113725339,0.0
85,348160,-2.247775199590406,23.98112004995346,0.0,-8067.014808973732,0.0
86,352256,-2.5420271152907183,34.14223223924637,0.0,-8681.912328720244,0.0
87,356352,-2.222593049828501,39.77238795161247,0.0,-9400.16571020092,0.0
88,360448,-2.1965733680350543,40.19111856818199,0.0,-8050.40688451845,0.0
89,364544,-2.235096423436058,30.392915546894073,0.0,-8050.40688451845,0.0
90,368640,-2.290044260932402,35.36747181415558,0.0,-9117.380763522642,0.0
91,372736,-2.15794809467802,33.70651653409004,0.0,-8717.315524909865,0.0
92,376832,-2.4432978680954065,34.05989566445351,0.0,-9001.604241103221,0.0
93,380928,-2.4012822921331223,34.17996099591255,0.0,-8899.040596094032,0.0
94,385024,-2.0628527110289157,29.818873673677444,0.0,-8526.885814884194,0.0
95,389120,-2.217167428234437,31.14882203936577,0.0,-8526.885814884194,0.0
96,393216,-2.031062081416155,31.287849754095078,0.0,-8989.809253921881,0.0
97,397312,-2.360577858979169,37.79694923758507,0.0,-9277.83039203243,0.0
98,401408,-2.1550986870354287,29.882844179868698,0.0,-9373.762424321754,0.0
99,405504,-2.4268373474392275,25.24665829539299,0.0,-8352.440481750931,0.0
100,409600,-2.183826020985668,26.499428004026413,0.0,-8352.440481750931,0.0
