update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-1.9738896142737359,8816.104034423828,0.0,,
2,8192,-1.8258224701007326,7408.264602661133,0.0,-7622.717245816357,0.0
3,12288,-2.179331979996834,9820.00910949707,0.0,-7603.329697207033,0.0
4,16384,-1.679901387297475,5583.4614181518555,0.0,-7884.933931160415,0.0
5,20480,-2.0362868508897467,7435.966812133789,0.0,-9037.852550799598,0.0
6,24576,-1.6407682910762604,4082.817440032959,0.0,-9037.852550799598,0.0
7,28672,-2.3321007289599054,7761.2087478637695,0.0,-7693.162545642149,0.0
8,32768,-2.265168592202711,6377.28145980835,0.0,-8285.118133721999,0.0
9,36864,-2.0856157319777506,4459.349040985107,0.0,-8907.79101952727,0.0
10,40960,-2.0582378073192062,2912.5572547912598,0.0,-9382.495723523836,0.0
11,45056,-1.6462061573514712,1255.9099888801575,0.0,-7341.9787432597905,0.0
12,49152,-1.945908402855951,1230.2243185043335,0.0,-7341.9787432597905,0.0
13,53248,-2.1686375205746797,943.5594410896301,0.0,-7753.1572821342,0.0
14,57344,-2.2438963860448125,1267.8139865398407,0.0,-8956.43953594247,0.0
15,61440,-2.0056208981185284,464.44516694545746,0.0,-9057.55091518319,0.0
16,65536,-1.9693314008925573,311.78658229112625,0.0,-8833.480110775363,0.0
17,69632,-1.8620382014934198,270.0008467435837,0.0,-8833.480110775363,0.0
18,73728,-2.4136551291182746,538.2876135110855,0.0,-9093.129697378306,0.0
19,77824,-2.0120891101934752,134.2295590043068,0.0,-8655.935991081677,0.0
20,81920,-2.071542062644384,321.0137507915497,0.0,-10418.881654325896,0.0
21,86016,-2.185513446955192,260.335342168808,0.0,-8252.76274261015,0.0
22,90112,-2.022521744025386,242.6769666671753,0.0,-7223.0475350488105,0.0
23,94208,-2.1023828248044287,158.596813082695,0.0,-7223.0475350488105,0.0
24,98304,-2.1949194944574284,165.38023126125336,0.0,-7719.704614050655,0.0
25,102400,-1.7572391674442096,126.44254219532013,0.0,-9625.814788955016,0.0
26,106496,-1.8927693367480924,199.76420879364014,0.0,-8599.91518424987,0.0
27,110592,-1.7680490053897124,228.67717218399048,0.0,-7652.650532797957,0.0
28,114688,-2.5824232389281834,212.03441679477692,0.0,-7652.650532797957,0.0
29,118784,-2.1608401862578277,381.02004837989807,0.0,-8431.531757687582,0.0
30,122880,-1.9726758330887408,185.65899431705475,0.0,-7392.941367106551,0.0
31,126976,-1.8674185989203163,156.54158735275269,0.0,-8062.254671266664,0.0
32,131072,-1.9082136928866256,198.8465712070465,0.0,-8310.126440545482,0.0
33,135168,-2.137455938670109,176.0559766292572,0.0,-8229.539936072435,0.0
34,139264,-1.8663807097357705,164.7068237066269,0.0,-8229.539936072435,0.0
35,143360,-2.1716645880788015,114.24242448806763,0.0,-7975.640218863211,0.0
36,147456,-2.366927009480385,82.03740733861923,0.0,-8348.744096296552,0.0
37,151552,-2.124726335976285,71.8871733546257,0.0,-8514.311396502077,0.0
38,155648,-2.3707742065950805,76.87491911649704,0.0,-8416.719275528292,0.0
39,159744,-1.909296563471576,110.13927233219147,0.0,-8416.719275528292,0.0
40,163840,-2.078600325772269,121.14837545156479,0.0,-7843.556383758465,0.0
41,167936,-2.13905266476982,80.69269281625748,0.0,-7994.358135789218,0.0
42,172032,-2.1103095225317485,65.4787090420723,0.0,-8405.272331588732,0.0
43,176128,-2.5474117158257976,79.82795161008835,0.0,-8833.44174161399,0.0
44,180224,-2.138206698107566,74.3746971487999,0.0,-8104.968906229095,0.0
45,184320,-2.0749887053214655,125.31754326820374,0.0,-8104.968906229095,0.0
46,188416,-1.9936540768406505,65.7608892917633,0.0,-8472.792124935373,0.0
47,192512,-2.4863631911057604,80.03975427150726,0.0,-7739.468135026489,0.0
48,196608,-2.577201201321799,102.66298937797546,0.0,-7815.972273827862,0.0
49,200704,-2.4373770984851584,72.5518679022789,0.0,-8454.388893029067,0.0
50,204800,-2.2622317721506957,46.35284948348999,0.0,-8454.388893029067,0.0
51,208896,-2.3670751074837573,37.30719745159149,0.0,-8543.919828242058,0.0
52,212992,-2.2731985380428092,72.2042390704155,0.0,-8169.471451188164,0.0
53,217088,-1.7099005137528391,78.79588514566422,0.0,-7726.156630599183,0.0
54,221184,-2.236550607191991,66.63369506597519,0.0,-7751.830948266972,0.0
55,225280,-2.175402113333947,80.26796048879623,0.0,-8610.858693572949,0.0
56,229376,-2.0845229644586136,59.89102882146835,0.0,-8610.858693572949,0.0
57,233472,-2.1753332843880067,60.63476949930191,0.0,-8318.37661819279,0.0
58,237568,-2.180053190255613,78.67417514324188,0.0,-8923.981080279127,0.0
59,241664,-2.1711518227711695,57.80015766620636,0.0,-8819.808211031721,0.0
60,245760,-2.086222692082505,46.7545667886734,0.0,-8717.386368915131,0.0
61,249856,-2.154495642187987,48.52856916189194,0.0,-8717.386368915131,0.0
62,253952,-1.8628687613937536,69.31776386499405,0.0,-8427.515154981245,0.0
63,258048,-2.199462687069642,73.11511361598969,0.0,-8668.099867010027,0.0
64,262144,-2.224855078383779,47.43993276357651,0.0,-8612.13339982207,0.0
65,266240,-1.9342823772467979,67.08798331022263,0.0,-8633.132192673267,0.0
66,270336,-2.4436709614443046,55.80382597446442,0.0,-8839.387072056636,0.0
67,274432,-2.2399195975303132,49.32534372806549,0.0,-8839.387072056636,0.0
68,278528,-2.173628941260697,64.68542331457138,0.0,-9583.332495586794,0.0
69,282624,-2.316734064331607,54.82701027393341,0.0,-8155.227342526976,0.0
70,286720,-2.217434783613637,37.312192261219025,0.0,-8484.091670863229,0.0
71,290816,-2.2886159098067087,80.6291173696518,0.0,-8767.905845292313,0.0
72,294912,-2.171045273654373,51.22653031349182,0.0,-8767.905845292313,0.0
73,299008,-2.225919209643599,67.68466126918793,0.0,-8525.684547092245,0.0
74,303104,-2.359525729679862,48.95589530467987,0.0,-7719.855756954952,0.0
75,307200,-2.0895773573153646,49.02440518140793,0.0,-8943.304542076492,0.0
76,311296,-2.230867255799707,46.24512302875519,0.0,-8236.49852678697,0.0
77,315392,-2.534043486795082,67.39139133691788,0.0,-8957.989395541954,0.0
78,319488,-2.33797890431734,64.50584870576859,0.0,-8957.989395541954,0.0
79,323584,-2.419587659720554,48.958575904369354,0.0,-8792.955179972263,0.0
80,327680,-2.068272481035689,47.67978420853615,0.0,-8662.987156635016,0.0
81,331776,-1.9045680224906543,68.52403748035431,0.0,-8247.05235990642,0.0
82,335872,-1.8494226809573218,37.54976096749306,0.0,-7966.489854850438,0.0
83,339968,-2.0500639085321506,69.36427801847458,0.0,-7966.489854850438,0.0
84,344064,-2.3335638210795357,53.58093976974487,0.0,-8887.948926854453,0.0
85,348160,-2.206440520001318,40.02782240509987,0.0,-8240.584338600635,0.0
86,352256,-2.0638401351487703,97.64116215705872,0.0,-7607.5601928661035,0.0
87,356352,-2.099129353229579,66.68377727270126,0.0,-8479.369865116802,0.0
88,360448,-2.5717568763718948,75.47034794092178,0.0,-8719.07967013839,0.0
89,364544,-1.909304070715157,39.78808754682541,0.0,-8719.07967013839,0.0
90,368640,-2.292139089857064,84.79424697160721,0.0,-8843.898651419428,0.0
91,372736,-2.2636559852776865,41.242132782936096,0.0,-8356.96938268468,0.0
92,376832,-2.122463758520418,55.95478719472885,0.0,-8257.754624715959,0.0
93,380928,-2.328880561266466,53.27493077516556,0.0,-8436.10097743402,0.0
94,385024,-2.7097767719154113,44.74098286032677,0.0,-8782.890226232177,0.0
95,389120,-2.006259106567146,81.42898625135422,0.0,-8782.890226232177,0.0
96,393216,-2.1639146097719397,80.77337265014648,0.0,-9310.096192674373,0.0
97,397312,-1.53430221670575,98.65209621191025,0.0,-8157.935545675648,0.0
98,401408,-2.041029895722545,94.64430344104767,0.0,-7666.878614232095,0.0
99,405504,-1.8619505339849076,73.49277985095978,0.0,-8964.804654449845,0.0
100,409600,-2.3685884960943087,65.38040339946747,0.0,-8964.804654449845,0.0
