update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-2.0424500877764116,9413.777603149414,0.0,,
2,8192,-1.898206030949739,7939.9677734375,0.0,-7941.627920862049,0.0
3,12288,-2.25675164939613,10545.964920043945,0.0,-7982.494432655278,0.0
4,16384,-1.728631161180728,5930.052467346191,0.0,-8153.873205897429,0.0
5,20480,-2.1156047701708625,8146.12516784668,0.0,-9329.73597154165,0.0
6,24576,-1.6926776599120161,4453.539279937744,0.0,-9329.73597154165,0.0
7,28672,-2.3065572864683874,7428.97492980957,0.0,-7974.91625926191,0.0
8,32768,-2.2766981689552077,6312.169387817383,0.0,-8539.24731033752,0.0
9,36864,-2.1812596404120375,4992.901695251465,0.0,-8994.086612159741,0.0
10,40960,-2.117462713152398,3245.6916790008545,0.0,-9616.14418875033,0.0
11,45056,-1.7064156174909804,1508.0408253669739,0.0,-7627.964308040044,0.0
12,49152,-1.9324909410239104,1176.877474308014,0.0,-7627.964308040044,0.0
13,53248,-2.178735997492815,1080.9044793844223,0.0,-8578.937956352189,0.0
14,57344,-2.295690110851046,1629.6103672981262,0.0,-9496.00634229485,0.0
15,61440,-2.013359883980092,570.5173704624176,0.0,-9905.073637897036,0.0
16,65536,-2.0276019815671873,476.9632226228714,0.0,-9512.740323042948,0.0
17,69632,-1.9714238454654076,344.3980379104614,0.0,-9512.740323042948,0.0
18,73728,-2.4736410399955617,823.0924611091614,0.0,-9961.11993006858,0.0
19,77824,-2.157206847474373,228.38129949569702,0.0,-9296.41087517669,0.0
20,81920,-1.9281329351061245,239.40700793266296,0.0,-11228.124604052799,0.0
21,86016,-2.1079964879339124,488.7601933479309,0.0,-8962.48239274778,0.0
22,90112,-2.1463610100285595,327.6555685997009,0.0,-7637.821980586838,0.0
23,94208,-1.9601976242272723,407.03377413749695,0.0,-7637.821980586838,0.0
24,98304,-2.1108579629037756,109.18694055080414,0.0,-8507.485638082355,0.0
25,102400,-1.974754624174527,146.47865986824036,0.0,-9617.515775119778,0.0
26,106496,-1.9164544919631956,253.38149845600128,0.0,-9449.083927893325,0.0
27,110592,-2.031999610954619,199.38938856124878,0.0,-8819.431973675892,0.0
28,114688,-2.654611079682266,171.0079140663147,0.0,-8819.431973675892,0.0
29,118784,-2.382062631623686,232.6696434020996,0.0,-9137.247539991373,0.0
30,122880,-2.040662514734704,159.53104889392853,0.0,-8469.502342419939,0.0
31,126976,-1.978435368929844,104.39967107772827,0.0,-8933.562157444383,0.0
32,131072,-2.269237286581685,85.3217380642891,0.0,-9424.944546311259,0.0
33,135168,-2.177974956295078,153.48659896850586,0.0,-8873.5494152466,0.0
34,139264,-2.120951230489317,92.8306480050087,0.0,-8873.5494152466,0.0
35,143360,-2.3078565418102572,87.20180153846741,0.0,-8791.573931349667,0.0
36,147456,-2.5405398026606476,52.8897824883461,0.0,-8792.858935580678,0.0
37,151552,-2.2925596176005487,96.29585456848145,0.0,-9098.600877263916,0.0
38,155648,-2.5082593210635657,74.13796490430832,0.0,-9260.870936720265,0.0
39,159744,-1.7468644875511956,144.262087225914,0.0,-9260.870936720265,0.0
40,163840,-2.1528223451639104,124.46304297447205,0.0,-8991.075491377987,0.0
41,167936,-2.349331820428775,103.78104799985886,0.0,-8590.954166485104,0.0
42,172032,-2.2832267499723886,55.69307881593704,0.0,-9131.983678450624,0.0
43,176128,-2.6170303504589367,71.4664500951767,0.0,-9475.81406217439,0.0
44,180224,-2.272727001157773,66.99563175439835,0.0,-8524.545413539006,0.0
45,184320,-2.171209517752418,116.7357782125473,0.0,-8524.545413539006,0.0
46,188416,-2.0122237733288832,67.09477108716965,0.0,-9064.25271170562,0.0
47,192512,-2.372094960588261,67.73079520463943,0.0,-8278.25065577556,0.0
48,196608,-2.4220301292040585,82.25197982788086,0.0,-7629.116134589758,0.0
49,200704,-2.4880263160412457,71.17566162347794,0.0,-8605.5239610627,0.0
50,204800,-2.2283156754299593,60.30338978767395,0.0,-8605.5239610627,0.0
51,208896,-2.355034580230153,51.91631379723549,0.0,-8414.168641222097,0.0
52,212992,-2.125919809232491,102.70624923706055,0.0,-7998.234452574003,0.0
53,217088,-1.6314594552784505,90.89330279827118,0.0,-7584.949853183825,0.0
54,221184,-2.1809699273294374,69.65240067243576,0.0,-7832.2891175513705,0.0
55,225280,-2.161042855609979,156.652858376503,0.0,-8221.662146438981,0.0
56,229376,-2.0614016065049023,93.10790848731995,0.0,-8221.662146438981,0.0
57,233472,-2.1997161332399044,92.16967529058456,0.0,-8154.020016743381,0.0
58,237568,-2.149802195106885,84.30421471595764,0.0,-9134.357038512677,0.0
59,241664,-2.2223946468042755,77.02723532915115,0.0,-8602.249047260502,0.0
60,245760,-2.088429615081241,61.86694914102554,0.0,-8480.326744025011,0.0
61,249856,-2.106395494637063,59.24081361293793,0.0,-8480.326744025011,0.0
62,253952,-1.859532493513394,97.87831830978394,0.0,-8034.040938330992,0.0
63,258048,-2.2378542992247894,69.06523501873016,0.0,-8375.42464463321,0.0
64,262144,-2.1993795311719424,60.85802811384201,0.0,-8496.163958321808,0.0
65,266240,-2.1433545856159295,72.86734026670456,0.0,-8539.90335171638,0.0
66,270336,-2.431905450197215,80.75877803564072,0.0,-8812.62718836503,0.0
67,274432,-2.202484185426866,73.13375401496887,0.0,-8812.62718836503,0.0
68,278528,-2.143279649808168,70.03692454099655,0.0,-9377.740482889576,0.0
69,282624,-2.3523164513435484,71.71176546812057,0.0,-8133.131293162257,0.0
70,286720,-2.2343598241510376,70.11834216117859,0.0,-8468.976065071132,0.0
71,290816,-2.3412760935278776,73.11087274551392,0.0,-8889.57939786262,0.0
72,294912,-2.258781996345772,42.276863634586334,0.0,-8889.57939786262,0.0
73,299008,-2.2048618933828097,59.88309967517853,0.0,-8711.96779081765,0.0
