update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-2.194416216234707,11101.153305053711,0.0,,
2,8192,-2.304442491150403,11625.540084838867,0.0,-9919.181003179572,0.0
3,12288,-2.7680810815378747,16461.043502807617,0.0,-10740.65333643517,0.0
4,16384,-2.586315872125412,13881.637496948242,0.0,-11827.579021764173,0.0
5,20480,-2.656756531706489,13977.812728881836,0.0,-10302.777085457561,0.0
6,24576,-2.5768232081982525,12686.865524291992,0.0,-10302.777085457561,0.0
7,28672,-2.825602140534401,14245.694381713867,0.0,-9782.127275480341,0.0
8,32768,-2.822617583020912,12776.551071166992,0.0,-10244.144550341147,0.0
9,36864,-2.500505683677889,8493.215919494629,0.0,-10539.024212771628,0.0
10,40960,-2.4564131700813183,6915.636680603027,0.0,-9770.754318641217,0.0
11,45056,-2.4142757151153234,5514.007118225098,0.0,-12041.863971852066,0.0
12,49152,-2.320420965101313,4162.5496616363525,0.0,-12041.863971852066,0.0
13,53248,-2.7236078189345516,4831.929998397827,0.0,-9530.626536245032,0.0
14,57344,-2.634835329311449,4324.733140945435,0.0,-9907.673745721127,0.0
15,61440,-2.498468901177148,2437.0549263954163,0.0,-8045.099125686387,0.0
16,65536,-2.0598478705723804,431.9701307415962,0.0,-11528.035338401049,0.0
17,69632,-2.4724741635764915,786.6864039897919,0.0,-11528.035338401049,0.0
18,73728,-2.638983820870826,952.0138540267944,0.0,-9629.364420608355,0.0
19,77824,-2.3871093366877374,503.37424117326736,0.0,-8399.602366646124,0.0
20,81920,-2.917929601537864,707.0677205920219,0.0,-8400.382751278325,0.0
21,86016,-2.4139081764725097,317.49450385570526,0.0,-10403.705237713268,0.0
22,90112,-2.8316548267367807,716.3152091503143,0.0,-9100.911588763134,0.0
23,94208,-2.7325984065732802,314.8189591765404,0.0,-9100.911588763134,0.0
24,98304,-2.944615762804662,355.36302334070206,0.0,-9000.714376657223,0.0
25,102400,-2.936410444084977,180.2159439921379,0.0,-9321.101583878251,0.0
26,106496,-2.4731534259046457,139.0043786764145,0.0,-9569.393954800516,0.0
27,110592,-2.2512228002424983,81.69017785787582,0.0,-6547.377279955994,0.0
28,114688,-2.4333578476954756,80.29068738222122,0.0,-6547.377279955994,0.0
29,118784,-2.74455985479395,123.46546149253845,0.0,-8114.746228833799,0.0
30,122880,-2.476367786685212,76.48769837617874,0.0,-6542.356608291297,0.0
31,126976,-2.4151240103407985,84.15874421596527,0.0,-7598.612624560093,0.0
