update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-2.2263184687984507,11406.328628540039,0.0,,
2,8192,-2.3465702261474632,12037.686950683594,0.0,-10215.693038459647,0.0
3,12288,-2.803036144439995,16863.42530822754,0.0,-10953.744732964813,0.0
4,16384,-2.644523263325781,14507.024322509766,0.0,-12267.946910265538,0.0
5,20480,-2.7015305541667294,14470.313827514648,0.0,-10488.146640850882,0.0
6,24576,-2.627371357968578,13210.498184204102,0.0,-10488.146640850882,0.0
7,28672,-2.857777709359778,14614.355819702148,0.0,-9918.037466177615,0.0
8,32768,-2.8723577392893116,13207.262680053711,0.0,-10575.67146379411,0.0
9,36864,-2.5405912423908177,8817.339973449707,0.0,-10355.356258985661,0.0
10,40960,-2.490999375596359,7159.433654785156,0.0,-9931.974056663175,0.0
11,45056,-2.455652401017338,5828.5335693359375,0.0,-12279.059656514273,0.0
12,49152,-2.369897095348954,4429.4800662994385,0.0,-12279.059656514273,0.0
13,53248,-2.783290732058367,5199.171140670776,0.0,-9493.544529484661,0.0
14,57344,-2.671334161090053,4619.851406097412,0.0,-10318.418709579275,0.0
15,61440,-2.518351107228974,2521.831247806549,0.0,-8511.101614230145,0.0
16,65536,-2.0647115089013712,438.02455615997314,0.0,-11103.653503094214,0.0
17,69632,-2.4881245758391017,701.8194093704224,0.0,-11103.653503094214,0.0
18,73728,-2.660825688103785,918.5190415382385,0.0,-9432.302914911244,0.0
19,77824,-2.4166527063983443,564.6510307192802,0.0,-8348.635788308136,0.0
20,81920,-2.9305056240361917,700.5004826486111,0.0,-8673.491294855292,0.0
21,86016,-2.44086726334202,348.81335484981537,0.0,-10083.561102326908,0.0
22,90112,-2.8493146818171677,551.538825750351,0.0,-8576.704895045164,0.0
23,94208,-2.792195837707303,353.64671218395233,0.0,-8576.704895045164,0.0
24,98304,-2.9152084717057627,370.8382215499878,0.0,-9032.762323057152,0.0
25,102400,-2.9560810781623306,211.54930359125137,0.0,-9008.73252868744,0.0
26,106496,-2.4983381824582285,129.23755222558975,0.0,-10237.110906525648,0.0
27,110592,-2.3082128641936484,54.06029009819031,0.0,-8874.683367311247,0.0
28,114688,-2.5616456487534185,79.38987350463867,0.0,-8874.683367311247,0.0
29,118784,-2.857696141254964,181.33217638731003,0.0,-8713.878868243315,0.0
30,122880,-2.5466881341469185,69.61586534976959,0.0,-7354.977249701656,0.0
31,126976,-2.47563437300384,121.72869491577148,0.0,-8619.162484815726,0.0
32,131072,-2.6474944055212095,156.68274080753326,0.0,-7585.706969000979,0.0
33,135168,-2.6658800079986986,45.472840040922165,0.0,-7359.81797900146,0.0
34,139264,-2.6278252329248577,99.14595067501068,0.0,-7359.81797900146,0.0
35,143360,-2.9647025014809425,108.62100493907928,0.0,-7280.37645159022,0.0
36,147456,-2.480546062593155,117.40500348806381,0.0,-7246.017987153832,0.0
37,151552,-2.4050132324001554,73.1012846827507,0.0,-7276.456750818752,0.0
38,155648,-2.291896713701167,89.10579431056976,0.0,-8133.066165895597,0.0
39,159744,-2.437145966023603,176.74418151378632,0.0,-8133.066165895597,0.0
40,163840,-2.369964382311312,227.2937709093094,0.0,-7485.914803762152,0.0
41,167936,-2.7629550311702067,50.961985021829605,0.0,-7911.765294358801,0.1
42,172032,-2.738723875973608,125.79501116275787,0.0,-7654.800155133916,0.0
43,176128,-2.0662759314459356,127.9902400970459,0.0,-8113.008949894129,0.0
44,180224,-2.487954562153716,84.09042656421661,0.0,-8298.048495416722,0.0
45,184320,-2.265450831737687,47.76690563559532,0.0,-8298.048495416722,0.0
46,188416,-2.33635181215549,101.1075969338417,0.0,-8302.03702877611,0.0
47,192512,-2.3564555074559728,76.8443695306778,0.0,-8899.287457756582,0.0
48,196608,-2.892892370993895,132.46374213695526,0.0,-8505.100912944996,0.0
49,200704,-1.961690791379194,59.61272904276848,0.0,-8804.426001206759,0.0
50,204800,-2.4831945128356523,88.12785518169403,0.0,-8804.426001206759,0.0
51,208896,-2.2577594316782443,41.750473767519,0.0,-8991.601341267973,0.0
52,212992,-2.327610516308897,53.103338211774826,0.0,-8568.378725618222,0.0
53,217088,-2.302075318479657,62.207603931427,0.0,-7075.320155705624,0.0
54,221184,-2.09677820442076,33.68427535891533,0.0,-8474.575964470128,0.0
55,225280,-2.3632117850750367,109.14029240608215,0.0,-7358.712606261312,0.0
56,229376,-2.0291445873260963,99.80744701623917,0.0,-7358.712606261312,0.0
57,233472,-2.248134291813277,45.61930838227272,0.0,-9195.73053723939,0.0
58,237568,-2.4476522452886402,59.19049233198166,0.0,-7892.999980455849,0.0
59,241664,-2.1479062928513306,54.923769384622574,0.0,-7370.094545832352,0.0
60,245760,-2.498092412632226,34.882194489240646,0.0,-6358.81357549978,0.0
61,249856,-2.4896554732662617,35.463288724422455,0.0,-6358.81357549978,0.0
62,253952,-2.3885944949106,41.91786798834801,0.0,-6463.727800740936,0.0
63,258048,-2.246543204804719,51.059109538793564,0.0,-7328.836508249269,0.0
64,262144,-1.7788617632824582,58.98091569542885,0.0,-6279.6288962479,0.0
65,266240,-2.2465069409012473,33.520358234643936,0.0,-6406.881047211717,0.0
66,270336,-1.9261012544169953,60.8153592646122,0.0,-6096.489086040105,0.1
67,274432,-1.823764576249216,42.21306222677231,0.0,-6096.489086040105,0.1
68,278528,-1.8578035689073695,37.100248634815216,0.0,-7171.7179590588685,0.3
69,282624,-2.136549205188857,26.5702111274004,0.0,-5180.581400409841,0.2
70,286720,-1.8965689884214307,40.550602689385414,0.0,-5286.34680951659,0.2
71,290816,-2.2341150648232158,31.309543818235397,0.0,-6637.398666655671,0.1
72,294912,-1.838652521391609,23.624535724520683,0.0,-6637.398666655671,0.1
73,299008,-1.8663278170157551,23.553569823503494,0.0,-7871.591712060064,0.1
74,303104,-1.6600686662148516,23.124792620539665,0.0,-6481.8615780033715,0.0
75,307200,-1.9354233170050683,25.867966040968895,0.0,-7839.045330823513,0.1
76,311296,-1.7626119775859457,22.338063269853592,0.0,-10594.825254047842,0.0
77,315392,-1.7139335930909079,57.34638532996178,0.0,-8752.548418651213,0.0
78,319488,-1.6970946768975994,13.50454730540514,0.0,-8752.548418651213,0.0
79,323584,-1.695747647612512,15.651708006858826,0.0,-6743.328396512559,0.3
80,327680,-1.7013231228922867,18.002053275704384,0.0,-9104.060081285545,0.2
81,331776,-2.081421974228808,16.182705886662006,0.0,-7442.000524010339,0.4
82,335872,-1.282434739096559,246.27043747901917,0.0,-8838.039152319656,0.3
83,339968,-1.6728571233234464,18.22507308423519,0.0,-8838.039152319656,0.3
84,344064,-1.461736031236196,176.5875471830368,0.0,-7512.8399731974805,0.4
85,348160,-1.60159991950017,445.93092346191406,0.0,-8031.424741436151,0.3
86,352256,-1.7224968586552865,16.344702124595642,0.0,-9188.434274503416,0.3
87,356352,-1.5881959662460883,18.699658811092377,0.0,-4360.424024486757,0.7
88,360448,-1.6209639917287073,226.91178393363953,0.0,-8454.168875456246,0.3
89,364544,-1.563023663655767,23.285322830080986,0.0,-8454.168875456246,0.3
90,368640,-1.621829723891755,159.74895584583282,0.0,-7856.410524606795,0.4
91,372736,-1.4640249053329273,79.24404203891754,0.0,-7516.61319704215,0.5
92,376832,-1.5431544606845764,372.45120453834534,0.0,-8517.738198043935,0.3
93,380928,-1.5688330137685216,119.73351275920868,0.0,-7497.173621163453,0.5
94,385024,-1.4518635022934319,546.3103318214417,0.0,-6908.268223098477,0.5
95,389120,-1.4701693503407225,21.924980655312538,0.0,-6908.268223098477,0.5
96,393216,-1.7204155864674424,172.58959567546844,0.0,-6545.823221418587,0.5
97,397312,-1.3031730131358614,193.70725786685944,0.0,-7239.336307611897,0.4
98,401408,-1.5150768480081993,49.012987196445465,0.0,-9996.264492231421,0.2
99,405504,-1.3488415884136566,212.3042185306549,0.0,-7328.805330949546,0.3
100,409600,-1.6524560092116265,209.74598240852356,0.0,-7328.805330949546,0.3
101,413696,-1.8943739386199754,295.34825921058655,0.0,-9071.203138248737,0.4
102,417792,-1.7308372338307147,430.0535292625427,0.0,-8109.561304000381,0.3
103,421888,-1.4808820707708445,91.21922391653061,0.0,-5682.78456160569,0.7
104,425984,-1.5879691347075626,193.28155958652496,0.0,-5294.96381887721,0.5
105,430080,-1.5325447931665317,50.671747863292694,0.0,-10338.576678368865,0.2
106,434176,-1.5523951109120109,589.7026707530022,1.0,-10338.576678368865,0.2
107,438272,-1.5455725975638295,113.70496207475662,1.0,-5662.217459773952,0.6
108,442368,-1.736671976058839,84.84627002477646,1.0,-7928.744558495016,0.4
109,446464,-1.5020665085027272,28.79067987203598,1.0,-11115.637781650703,0.2
110,450560,-1.2445892711811644,685.4223942756653,1.0,-8277.223422980514,0.2
111,454656,-1.5604383701146944,261.6608010530472,1.0,-8277.223422980514,0.2
112,458752,-1.404410402047846,396.7880409657955,1.0,-8219.441657499698,0.2
113,462848,-1.6780873360423652,212.6942402124405,1.0,-5415.973063973342,0.5
114,466944,-1.2694746386957108,741.758457660675,1.0,-8609.575714811055,0.3
115,471040,-1.769405018576062,181.63719761371613,1.0,-2357.8668232346645,0.9
116,475136,-1.5617926982596337,24.76709634065628,1.0,-7592.422498768725,0.5
117,479232,-1.8820151058169474,17.709047079086304,1.0,-7592.422498768725,0.5
118,483328,-1.7589272309969461,376.80997586250305,1.0,-9425.133443467264,0.2
119,487424,-1.6252658729347926,79.15488702058792,1.0,-8509.61210572919,0.4
120,491520,-1.667812489063556,1720.3655319213867,1.0,-5767.027838725237,0.6
121,495616,-1.3750737530256574,636.412707567215,1.0,-6231.224675797359,0.4
122,499712,-1.2804370487273389,602.4884257316589,1.0,-6231.224675797359,0.4
123,503808,-1.6430196477108776,1451.5554971694946,1.0,-6492.662536961483,0.5
124,507904,-1.5015674658429292,276.1015022993088,1.0,-8877.14348114888,0.4
125,512000,-1.6908703613263736,152.20852941274643,1.0,-8426.943661399175,0.4
126,516096,-1.5174418814993786,750.7314417362213,1.0,-6573.39425695526,0.6
127,520192,-1.3317860255301532,779.1520051956177,1.0,-9140.679111332549,0.3
128,524288,-1.5973568480545715,462.3235409259796,1.0,-9140.679111332549,0.3
129,528384,-1.3796015194939981,306.64180850982666,1.0,-7850.327350136237,0.3
130,532480,-1.4370501165111176,61.44346123933792,1.0,-6700.942147772052,0.4
131,536576,-1.6749339923772772,171.36055719852448,1.0,-8374.735877291008,0.4
132,540672,-1.334357987972623,337.4795536994934,1.0,-7666.326000785413,0.3
133,544768,-1.6455610347669882,227.83444786071777,1.0,-7666.326000785413,0.3
134,548864,-1.9011460643997586,32.202192202210426,1.0,-8853.673902056,0.5
135,552960,-1.513171378434106,38.24822771549225,1.0,-7123.276956431369,0.5
136,557056,-1.5437312591297012,378.2935042977333,1.0,-4685.803103362004,0.8
137,561152,-1.2983504269929553,175.33032631874084,1.0,-6474.654240064685,0.5
138,565248,-1.670462799457207,382.0985505580902,1.0,-7748.720082195117,0.4
139,569344,-1.8143639836122483,249.9249391555786,1.0,-7748.720082195117,0.4
140,573440,-1.7654631161275929,27.73110517859459,1.0,-8872.164796191266,0.3
141,577536,-1.5961631558424516,1234.7696599960327,1.0,-8941.931907378243,0.3
142,581632,-1.2600964437944053,571.9514892101288,1.0,-8340.727908841576,0.3
143,585728,-1.9251276666562644,21.10382105410099,1.0,-6251.215328738361,0.6
144,589824,-1.5202244910485452,180.70935726165771,1.0,-6251.215328738361,0.6
145,593920,-1.5721332047748855,487.3519139289856,1.0,-7729.566245629571,0.5
146,598016,-1.3706949512889195,505.1498475074768,1.0,-5209.567213321081,0.8
147,602112,-1.9407814649075528,24.140090629458427,1.0,-3186.289272267938,0.8
148,606208,-1.6939298638399376,53.44040870666504,1.0,-5920.517998385125,0.6
149,610304,-1.6345697901191487,27.105262637138367,1.0,-6233.793356924738,0.5
150,614400,-1.7344050172488212,380.02163648605347,1.0,-6233.793356924738,0.5
151,618496,-1.3149643025885442,144.25670444965363,1.0,-4904.616512512047,0.8
152,622592,-1.85218715572389,444.5008978843689,1.0,-6962.656112774026,0.3
153,626688,-1.458883655269515,1238.4379291534424,1.0,-6962.753136013724,0.3
154,630784,-1.5950399433422102,614.2578282356262,1.0,-7340.227283495129,0.4
155,634880,-1.5841959518189408,54.45036989450455,1.0,-7340.227283495129,0.4
156,638976,-1.7569724065737535,527.9116406440735,1.0,-7199.892241957328,0.4
157,643072,-1.5920600270009653,33.81843538582325,1.0,-6040.664608238325,0.6
158,647168,-1.7209186666554477,1169.8112831115723,1.0,-6975.787910947582,0.3
159,651264,-1.3902497241726497,445.1254395246506,1.0,-7848.752309783932,0.4
160,655360,-1.8052306340349218,173.4266575574875,1.0,-4434.834738268357,0.7
161,659456,-1.291792268772061,1008.6277966499329,1.0,-4434.834738268357,0.7
162,663552,-1.7102572123208861,26.33551214635372,1.0,-6606.418980114393,0.5
163,667648,-1.6558830279711774,241.06235873699188,1.0,-8238.836080081723,0.5
164,671744,-1.654474049295297,149.1203167438507,1.0,-8327.964083547082,0.3
165,675840,-1.5040892417192842,520.452244758606,1.0,-7618.592499610682,0.3
166,679936,-1.3953960552984082,216.2908730506897,1.0,-7618.592499610682,0.3
167,684032,-1.2489264830322946,584.7744634151459,1.0,-6415.803928950904,0.5
168,688128,-1.7701450518053332,1495.1796989440918,1.0,-7671.296013080127,0.4
169,692224,-1.3678640243563387,45.76766334474087,1.0,-8220.735099465837,0.4
170,696320,-1.8556384772114118,309.43504667282104,1.0,-6944.64563431632,0.4
171,700416,-1.679334313975978,20.908912554383278,1.0,-7940.20834202703,0.3
172,704512,-1.6623269124830635,361.1062083244324,1.0,-7940.20834202703,0.3
173,708608,-1.9310741805303122,1411.3742370605469,1.0,-8288.9081118416,0.3
174,712704,-1.5318845272390558,191.71668791770935,1.0,-6433.678159385587,0.4
175,716800,-1.5459277983038962,128.6511572599411,1.0,-7141.242986711986,0.6
176,720896,-1.9180497042121023,604.8438529968262,1.0,-7626.517509045234,0.5
177,724992,-1.4922253427516248,326.93954205513,1.0,-7626.517509045234,0.5
178,729088,-1.249090728108622,737.1939632892609,1.0,-6906.188200320385,0.5
179,733184,-1.7421512576174727,69.17318457365036,1.0,-7696.749030578413,0.5
180,737280,-1.854228756915012,217.3676917552948,1.0,-5586.678626766088,0.5
