update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-1.877748229459074,8412.75163269043,0.0,,
2,8192,-1.9754928966114889,8703.62116241455,0.0,-9601.45019828493,0.0
3,12288,-2.44971566866354,13103.079528808594,0.0,-9538.811078862525,0.0
4,16384,-2.155062749885759,9858.771728515625,0.0,-11465.056455720984,0.0
5,20480,-2.341726716169581,10848.431701660156,0.0,-9503.688955032265,0.0
6,24576,-2.3011142298980207,10248.760940551758,0.0,-9503.688955032265,0.0
7,28672,-2.4775242012554095,10915.799560546875,0.0,-8501.202069074006,0.0
8,32768,-2.5664018223889564,10187.016395568848,0.0,-9125.10696359177,0.0
9,36864,-2.1538924048998904,6090.303279876709,0.0,-9363.737097445386,0.0
10,40960,-2.1159665737676834,4425.614309310913,0.0,-9117.141026501704,0.0
11,45056,-2.1302798706312753,4049.5793132781982,0.0,-11217.043212937926,0.0
12,49152,-2.0087566750333288,2573.968684196472,0.0,-11217.043212937926,0.0
13,53248,-2.356777049563706,3207.783757209778,0.0,-7748.336985813074,0.0
14,57344,-2.266206478282621,2814.9841089248657,0.0,-8604.718003881617,0.0
15,61440,-2.1707960384834055,1412.5698738098145,0.0,-7196.3722698934625,0.0
16,65536,-1.6712505479085347,302.37541913986206,0.0,-9585.481506367769,0.0
17,69632,-2.140751004537508,430.7981336116791,0.0,-9585.481506367769,0.0
18,73728,-2.2786876220123196,665.7028844356537,0.0,-8199.504278908651,0.0
19,77824,-2.0693537812848106,267.1762239933014,0.0,-6420.177000935003,0.0
20,81920,-2.557174975004068,534.0316261053085,0.0,-7215.375949180847,0.0
