update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-1.877748229459074,8412.75163269043,0.0,,
2,8192,-0.5628589668058465,861.9517412185669,0.0,-3064.91294082601,0.0
3,12288,-0.9269461340466849,1991.518741607666,0.0,-3688.1490810102864,0.0
4,16384,-0.5742057363332803,768.8414697647095,0.0,-5259.207413249792,0.0
5,20480,-0.7602318194675785,1040.4864559173584,0.0,-3612.6458507802963,0.0
6,24576,-0.9203216561508198,1538.3064823150635,0.0,-3612.6458507802963,0.0
7,28672,-1.0333070491401384,1762.1108055114746,0.0,-3077.867608133599,0.0
8,32768,-1.0178811086847745,1122.4403533935547,0.0,-3502.1238998195536,0.0
9,36864,-0.819710622641059,480.0845649242401,0.0,-3515.0705641856766,0.0
10,40960,-0.8787141153613128,563.0088658332825,0.0,-3377.417113276258,0.0
11,45056,-0.7858731600922237,289.15601193904877,0.0,-4581.595254296083,0.0
12,49152,-0.7673285068511189,140.8276528120041,0.0,-4581.595254296083,0.0
13,53248,-0.9257841671687888,326.24991488456726,0.0,-3214.9432365970288,0.0
14,57344,-0.8991817474084379,257.4993847608566,0.0,-3898.4187217599406,0.0
15,61440,-0.8283947500712829,157.09808480739594,0.0,-2937.9204922655513,0.0
16,65536,-0.614305251340441,72.31316298246384,0.0,-4135.807116909554,0.0
17,69632,-0.8301675069487207,108.29205411672592,0.0,-4135.807116909554,0.0
18,73728,-0.8442417443175446,159.3904699087143,0.0,-3336.1083306679475,0.0
19,77824,-0.791893772704458,61.02947250008583,0.0,-2923.002542206695,0.0
20,81920,-1.1362984844816555,77.90922778844833,0.0,-2975.85610237677,0.1
21,86016,-0.9326906070198662,107.16355347633362,0.0,-2745.7656139205515,0.0
22,90112,-0.9374777565512804,351.2310781478882,0.0,-2264.7477085231076,0.0
23,94208,-0.9813694332633092,42.70010343194008,0.0,-2264.7477085231076,0.0
24,98304,-1.1930815410050055,61.70626413822174,0.0,-2381.342213679256,0.2
25,102400,-1.1310278851661761,63.2978977560997,0.0,-1710.1836275608905,0.1
26,106496,-0.7255797683596027,124.94512224197388,0.0,-2124.511348452563,0.1
27,110592,-0.6602441417805816,96.07300120592117,0.0,-1282.9474136242989,0.2
28,114688,-0.5949854602131133,121.17182683944702,0.0,-1282.9474136242989,0.2
29,118784,-1.0032733720256308,77.1974764764309,0.0,-2336.4595129461923,0.2
30,122880,-0.7098517872420067,55.95495092868805,0.0,-1342.024554665826,0.4
31,126976,-0.7752380779796824,105.5699627995491,0.0,-1845.5229024971613,0.2
32,131072,-0.9430076915049315,83.49744302034378,0.0,-1352.1399729464424,0.1
33,135168,-0.904463639550211,32.72610393166542,0.0,-1404.298712653279,0.1
34,139264,-0.804279058565285,103.01624971628189,0.0,-1404.298712653279,0.1
35,143360,-1.0667664288349266,88.81248384714127,0.0,-1441.238145799621,0.5
36,147456,-0.8030975965003678,99.06714183092117,0.0,-1340.3505436985495,0.3
37,151552,-0.7413375434571988,74.01168966293335,0.0,-903.8503485280232,0.7
38,155648,-0.5949624079255302,81.30336701869965,0.0,-1029.6079109715688,0.6
39,159744,-1.0107439679128052,99.8759093284607,0.0,-1029.6079109715688,0.6
40,163840,-0.6779751360513141,112.53647971153259,0.0,-463.0778249077959,0.7
41,167936,-0.7789059810192813,111.12342089414597,0.0,-772.191112043478,0.5
42,172032,-0.9414147953323555,91.87935012578964,0.0,-777.6791559567032,0.5
43,176128,-0.5759429385607974,61.98266527056694,0.0,-1415.993940014087,0.4
44,180224,-0.9036435605018731,190.61931192874908,0.0,-1178.9084351556085,0.4
45,184320,-0.557571330592285,175.05529117584229,0.0,-1178.9084351556085,0.4
46,188416,-0.7326117377670704,60.08621424436569,0.0,-1140.1277431828362,0.2
47,192512,-0.9866321996518,413.9580819606781,0.0,-936.6942424783117,0.5
48,196608,-1.2646565496937612,294.9737899303436,0.0,-1268.1962116678974,0.2
49,200704,-0.5935262347458898,155.59907627105713,0.0,-1326.0441973557654,0.4
50,204800,-0.9705492426085714,120.81234610080719,0.0,-1326.0441973557654,0.4
51,208896,-0.8050569540238268,149.02823507785797,0.0,-1081.946377809735,0.5
52,212992,-0.8512780336867898,62.16488379240036,0.0,-841.6181430675337,0.6
53,217088,-0.8711916796212785,122.51935470104218,0.0,-862.5953963987607,0.6
54,221184,-0.6763213365198323,70.45924109220505,0.0,-960.1975015603433,0.4
55,225280,-0.8439660036360952,408.97614431381226,1.0,-590.3469799174811,0.6
56,229376,-0.8040804142293345,419.76062750816345,1.0,-590.3469799174811,0.6
57,233472,-0.9082887983530004,135.01108396053314,1.0,-1402.3914852573275,0.2
58,237568,-0.7518043509259533,81.46713173389435,1.0,-963.242296287166,0.6
59,241664,-0.4384906956697106,118.24077212810516,1.0,-981.9761415733625,0.6
60,245760,-0.5741277909606806,55.442301869392395,1.0,-825.442714901942,0.5
61,249856,-0.7169865221598626,92.73728626966476,1.0,-825.442714901942,0.5
62,253952,-0.7234221703328274,147.7605037689209,1.0,-634.1058385340596,0.8
63,258048,-1.0562942057807456,135.03032553195953,1.0,-627.5895608285742,0.7
64,262144,-0.45126039947024255,372.507381439209,1.0,-724.9665201566016,0.7
65,266240,-0.8382207587672565,90.34462982416153,1.0,-937.7968853774879,0.5
66,270336,-0.8155708283262386,80.7808301448822,1.0,-592.759666069826,0.8
67,274432,-0.8147385938857601,48.94701999425888,1.0,-592.759666069826,0.8
68,278528,-0.7203755688155908,82.14406025409698,1.0,-777.1020956823023,0.7
69,282624,-0.6360658283748579,319.5632168650627,1.0,-860.0430507168287,0.7
70,286720,-0.7556125343844673,74.55397009849548,1.0,-795.707462272393,0.7
71,290816,-0.9187868965979653,45.694969445466995,1.0,-689.2303676191156,0.8
72,294912,-0.9184802977330377,75.87510770559311,1.0,-689.2303676191156,0.8
73,299008,-0.9155795180903921,50.38830125331879,1.0,-1047.7321838900193,0.5
74,303104,-0.6450681367204549,254.06143128871918,1.0,-770.8031755309149,0.7
75,307200,-1.044851523870694,218.1774914264679,1.0,-662.2821253149116,0.7
76,311296,-0.8732135371410805,71.66975402832031,1.0,-1337.4890166062528,0.3
77,315392,-0.5042739522903669,70.39944979548454,1.0,-950.3870960219217,0.7
78,319488,-0.7692833537637381,40.818592578172684,1.0,-950.3870960219217,0.7
79,323584,-0.5708136510680616,39.566872984170914,1.0,-683.1714280804451,0.8
80,327680,-0.7679395244473453,14.960103265941143,1.0,-853.6579625567907,0.6
81,331776,-1.0394843305394206,47.72286981344223,1.0,-646.825025115049,0.8
82,335872,-0.7394916665395996,62.230270117521286,1.0,-629.3723331443427,0.6
83,339968,-0.9333594478010974,62.24687957763672,1.0,-629.3723331443427,0.6
84,344064,-0.7813019973782522,32.68750396370888,1.0,-897.0507137661382,0.7
85,348160,-0.6566720030088822,135.2706047296524,1.0,-908.8546387782635,0.7
86,352256,-0.6743769172054092,139.37909501791,1.0,-753.2199384521956,0.7
87,356352,-0.8490260379253907,16.158671751618385,1.0,-777.7126166331615,0.7
88,360448,-0.964237885690131,27.85449516773224,1.0,-997.0200274720125,0.7
89,364544,-0.5406053218030965,265.9913367331028,1.0,-997.0200274720125,0.7
90,368640,-1.038918966621925,17.270067170262337,1.0,-770.7959398031312,0.8
91,372736,-0.7770688030019381,7.66909059882164,1.0,-764.5603968409281,0.7
92,376832,-1.0713396276825073,12.204962126910686,1.0,-931.2344471040062,0.8
93,380928,-0.7284649341572975,9.208131283521652,1.0,-1164.7317778707734,0.5
94,385024,-0.9097236933045555,648.2337036132812,1.0,-1233.4660517075035,0.4
95,389120,-0.640467751212434,11.957446455955505,1.0,-1233.4660517075035,0.4
96,393216,-1.1516117626535811,132.55563427507877,1.0,-952.8245222329742,0.8
97,397312,-1.1927711311693252,330.41886854171753,1.0,-1234.5927654131578,0.5
98,401408,-1.05792348692362,19.571717336773872,1.0,-977.4014110656384,0.6
99,405504,-0.9667600338312694,127.1559436917305,1.0,-1600.0155520725793,0.3
100,409600,-1.0572425174861815,23.4308949559927,1.0,-1600.0155520725793,0.3
101,413696,-0.5999827413795158,117.04991686344147,1.0,-2007.9774878074845,0.5
102,417792,-0.9114547751025585,12.504652343690395,1.0,-1231.5795497029426,0.8
103,421888,-1.074339970599916,52.948011577129364,1.0,-1128.806114964264,0.8
104,425984,-1.1473390240422225,79.62160050868988,1.0,-1587.8592509148061,0.3
105,430080,-1.035875843037481,96.42220988869667,1.0,-1030.981212493657,0.6
106,434176,-0.8723529349796905,103.90874284505844,1.0,-1030.981212493657,0.6
107,438272,-0.9685228368356966,102.73607385158539,1.0,-1232.8080445795272,0.7
108,442368,-0.8161515511518767,29.92874175310135,1.0,-1383.6582596222827,0.3
109,446464,-1.0364506596707808,30.888814955949783,1.0,-1185.1720079153995,0.4
110,450560,-1.0154500920903653,137.11550080776215,1.0,-1356.6498865057933,0.5
111,454656,-1.6837011757351719,57.84557616710663,1.0,-1356.6498865057933,0.5
112,458752,-0.6088891451311944,111.37271231412888,1.0,-1262.6685966243845,0.6
113,462848,-0.7624055455421237,20.325110487639904,1.0,-1231.274233176012,0.5
114,466944,-1.0260589622815188,35.638527542352676,1.0,-1227.6251491791056,0.8
115,471040,-0.956915328308567,20.862788751721382,1.0,-1003.1429674001196,0.6
116,475136,-1.4166435549261678,39.277769327163696,1.0,-1715.3131381267456,0.2
117,479232,-1.1627359060240312,16.363507069647312,1.0,-1715.3131381267456,0.2
118,483328,-1.0196690400300583,139.0284241437912,1.0,-1525.29273792721,0.4
119,487424,-0.9363916916911709,99.15964204072952,1.0,-2331.6674112579794,0.3
120,491520,-0.9881857070776074,144.86627769470215,1.0,-1528.6157197593081,0.6
121,495616,-0.8119906354623465,143.0327764749527,1.0,-1528.0672682455079,0.3
122,499712,-0.8908947029383725,143.19921970367432,1.0,-1528.0672682455079,0.3
123,503808,-1.092766277921178,48.230015844106674,1.0,-1769.8118208953572,0.3
124,507904,-1.1292776594908784,35.07554465532303,1.0,-1362.0658870731813,0.6
125,512000,-0.8694042927755996,138.23407363891602,1.0,-1185.4896539878541,0.6
126,516096,-1.0220954160881033,159.13650333881378,1.0,-1838.0773079452701,0.5
127,520192,-0.9831846223572535,78.48136606812477,1.0,-1902.3043164742103,0.6
128,524288,-0.8871487536029875,21.879318319261074,1.0,-1902.3043164742103,0.6
