update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,4096,-1.9557448677361091,9027.298461914062,0.0,,
2,8192,-0.8336690922297618,1668.5780410766602,0.0,-4304.957535225887,0.0
3,12288,-1.1978737245938493,3191.3162841796875,0.0,-5303.73834638128,0.0
4,16384,-0.9140806389028195,1808.5053424835205,0.0,-6182.754413383211,0.0
5,20480,-1.021098510401906,1931.5806484222412,0.0,-4439.290242485283,0.0
6,24576,-1.1479348973099164,2389.940029144287,0.0,-4439.290242485283,0.0
7,28672,-1.2274797148370076,2561.9782695770264,0.0,-4201.086995246461,0.0
8,32768,-1.2706503804837643,2025.266851425171,0.0,-4771.667644277729,0.0
9,36864,-1.0444607379634785,937.2929697036743,0.0,-5319.985965540017,0.0
10,40960,-1.0909258339902754,897.6520261764526,0.0,-4322.756113418278,0.0
11,45056,-1.0953542734398978,574.9681322574615,0.0,-6365.943493230902,0.0
12,49152,-1.0097291486719056,264.16799026727676,0.0,-6365.943493230902,0.0
13,53248,-1.1828005658330467,500.4701359272003,0.0,-3787.7332345702016,0.0
14,57344,-1.2065142226935,417.00494849681854,0.0,-4412.793127423532,0.0
15,61440,-1.0706461961143634,213.34253096580505,0.0,-4553.515543603722,0.0
16,65536,-0.7998544367617002,125.72857403755188,0.0,-5412.163244483962,0.0
17,69632,-1.0720272802924715,149.81975185871124,0.0,-5412.163244483962,0.0
18,73728,-1.205688736106091,211.2113800048828,0.0,-4427.576663647198,0.0
19,77824,-1.0055031280644036,76.6013633608818,0.0,-4493.673049447939,0.0
20,81920,-1.4745284028855523,135.15603524446487,0.0,-4487.435920214571,0.0
21,86016,-1.0988287521670164,150.95854830741882,0.0,-5438.006272426909,0.0
22,90112,-1.2060401998048644,383.8302206993103,0.0,-5004.355474808781,0.0
23,94208,-1.2881529909106513,103.27117729187012,0.0,-5004.355474808781,0.0
24,98304,-1.5373177560879476,107.80534341931343,0.0,-4755.173390040725,0.0
25,102400,-1.4520095893251277,99.92015060782433,0.0,-4384.911694794323,0.0
26,106496,-1.1400434541119129,109.55188089609146,0.0,-4911.604558032737,0.0
27,110592,-1.1624977136004402,56.790394723415375,0.0,-3443.15787978022,0.0
28,114688,-1.0964169805296975,65.56463220715523,0.0,-3443.15787978022,0.0
29,118784,-1.4663877443194413,68.33521953225136,0.0,-4078.8894415019495,0.0
30,122880,-0.9860674955043492,47.904322773218155,0.0,-3977.5696927858057,0.0
31,126976,-1.1600175937244237,40.04893383383751,0.0,-3645.1080526619544,0.0
32,131072,-1.4046050354709005,65.90974393486977,0.0,-3402.5912248393156,0.0
33,135168,-1.3013596503233376,57.57846641540527,0.0,-3220.457775438638,0.1
34,139264,-1.23558650204109,127.08841103315353,0.0,-3220.457775438638,0.1
35,143360,-1.5272594251719958,132.70783978700638,0.0,-2769.601046282989,0.0
36,147456,-1.1325458057819624,174.11127352714539,0.0,-3291.221965109298,0.0
37,151552,-1.1581130691418997,43.372967571020126,0.0,-2539.882256468708,0.0
38,155648,-0.9145984588730041,133.47940480709076,0.0,-2716.868095689948,0.3
39,159744,-1.276066883710595,68.99933096766472,0.0,-2716.868095689948,0.3
40,163840,-1.1735088935261166,151.28605830669403,0.0,-2838.6374032776316,0.0
41,167936,-1.3402475147600788,24.3472630828619,0.0,-2732.2995522744245,0.1
42,172032,-1.4508824881791025,136.3413165807724,0.0,-2892.508929612705,0.0
43,176128,-1.0269980486508556,53.53391349315643,0.0,-2743.6368530649625,0.1
44,180224,-1.1566579253212828,70.47526705265045,0.0,-3068.4075277477737,0.0
45,184320,-1.0648436315365086,65.03879523277283,0.0,-3068.4075277477737,0.0
46,188416,-0.9026648169236521,127.88424134254456,0.0,-2449.7845625213554,0.4
47,192512,-0.8971740194824596,117.68922847509384,0.0,-2208.6772217437638,0.3
48,196608,-1.5779229450886247,89.18140518665314,0.0,-3054.2629501584943,0.2
49,200704,-0.49543133732202504,148.18496161699295,0.0,-2269.5235838080334,0.4
50,204800,-0.9844731752046407,73.47424048185349,0.0,-2269.5235838080334,0.4
51,208896,-0.7998144219961302,64.89773246645927,0.0,-2158.4716014655432,0.5
52,212992,-0.8673837839246077,79.00164341926575,0.0,-2065.7414162766327,0.5
53,217088,-0.793252582172264,68.87466186285019,0.0,-2263.0927762065407,0.4
54,221184,-0.8776602323029576,107.97765135765076,0.0,-2698.69537195646,0.4
55,225280,-1.1109011880938011,136.14998984336853,0.0,-1347.5406820869512,0.6
56,229376,-0.4830166857023865,146.59483408927917,0.0,-1347.5406820869512,0.6
57,233472,-0.6368512524401159,112.91930830478668,0.0,-3465.482033424727,0.2
58,237568,-1.2203668350819121,141.22990900278091,0.0,-2937.6148735452266,0.4
59,241664,-0.3864959495943805,123.29470092058182,0.0,-2285.4421661932092,0.5
60,245760,-1.0781758775763208,181.28459751605988,0.0,-2724.374587732447,0.4
61,249856,-0.6301346751612056,111.41105532646179,0.0,-2724.374587732447,0.4
62,253952,-0.7552276131819318,100.97794777154922,0.0,-1478.3002050073658,0.8
63,258048,-0.6695540929069907,84.35482639074326,0.0,-2357.934607779863,0.3
64,262144,-0.7387280850481908,343.28863620758057,1.0,-1816.8393633465662,0.6
65,266240,-0.6378303612312934,106.47547960281372,1.0,-2052.5206016256193,0.6
66,270336,-0.7546535904389101,105.02126961946487,1.0,-1866.2485163278075,0.6
67,274432,-0.659071911692564,233.39351630210876,1.0,-1866.2485163278075,0.6
68,278528,-0.8091098653168168,94.31459665298462,1.0,-1940.1371040706952,0.7
69,282624,-0.7926306700175405,303.06581008434296,1.0,-1990.1493409851653,0.6
70,286720,-0.6880396589411093,191.5634173154831,1.0,-1257.6418053400484,0.8
71,290816,-0.9502759969809889,94.21769511699677,1.0,-1415.1931239972116,0.8
72,294912,-0.5161841303659038,563.4438030719757,1.0,-1415.1931239972116,0.8
73,299008,-1.1982047206492448,93.37044286727905,1.0,-3143.812346596029,0.3
74,303104,-0.640791347541238,340.9475303888321,1.0,-2727.0460911065043,0.4
75,307200,-0.6700868759839825,309.86407446861267,1.0,-3015.2147043534155,0.3
76,311296,-1.137479962463812,113.39477920532227,1.0,-3581.5575667409853,0.2
77,315392,-0.851637475635921,130.6715748310089,1.0,-1945.5764811674285,0.6
78,319488,-0.6526571179037315,303.35067307949066,1.0,-1945.5764811674285,0.6
79,323584,-1.0554489137528282,105.45557862520218,1.0,-2470.2133147618833,0.4
80,327680,-0.6666402332076214,68.97715139389038,1.0,-2604.6550594829205,0.5
81,331776,-0.9201896637099546,223.14708596467972,1.0,-2093.6128404857072,0.5
82,335872,-0.6156406652353352,276.9553966522217,1.0,-3279.0733426042666,0.2
83,339968,-1.0571394867469228,144.0221447944641,1.0,-3279.0733426042666,0.2
84,344064,-1.0843756806216893,290.5355980396271,1.0,-3227.119406468879,0.2
85,348160,-1.0346173869437125,169.83293288946152,1.0,-2881.4500182900633,0.4
86,352256,-1.1257668173853637,174.62811934947968,1.0,-1428.2900245155786,0.8
87,356352,-0.861764136284607,251.03477084636688,1.0,-2476.9588537725544,0.4
88,360448,-0.9439067190561982,98.48460984230042,1.0,-3096.545526244606,0.3
89,364544,-1.019531127625118,62.377109467983246,1.0,-3096.545526244606,0.3
90,368640,-0.646483568804086,169.3309479355812,1.0,-3446.375495303267,0.3
91,372736,-0.8143521313026318,164.39387965202332,1.0,-2807.308777736481,0.4
92,376832,-0.8947951440909958,169.84986299276352,1.0,-2605.294001839925,0.5
93,380928,-0.8228965612264844,282.47424483299255,1.0,-3129.2230739478464,0.4
94,385024,-0.9897715679022593,257.38683319091797,1.0,-2023.5729305774464,0.6
95,389120,-0.8090697399193943,73.38183924555779,1.0,-2023.5729305774464,0.6
96,393216,-1.3449474036894693,267.8264365196228,1.0,-2858.480415889588,0.3
97,397312,-1.1050492533312797,314.6636919975281,1.0,-3147.9678168982673,0.4
