update,steps,train_mean_reward,train_loss,train_success_rate,eval_mean_reward,eval_success_rate
1,128,-0.4041038751602173,121.83013343811035,0.0,,
2,256,-0.9380638003349304,228.01458740234375,0.0,,
3,384,-0.6149523854255676,289.2717056274414,0.0,,
4,512,-1.6466929912567139,714.1684417724609,0.0,,
5,640,-1.1524453163146973,382.92969512939453,0.0,,
6,768,-1.3161958456039429,416.62162017822266,0.0,,
7,896,-1.0533578395843506,382.3033981323242,0.0,,
8,1024,0.20406633615493774,92.59515571594238,0.0,,
9,1152,-0.7224490642547607,161.98274993896484,0.0,,
10,1280,-0.4797794222831726,431.97049713134766,0.0,,
11,1408,-1.9192228317260742,757.1369171142578,0.0,,
12,1536,0.17624738812446594,279.20386505126953,0.0,,
13,1664,-0.1316724270582199,239.15999221801758,0.0,,
14,1792,-0.4886345863342285,158.0779037475586,0.0,,
15,1920,-0.6688932776451111,186.20172500610352,0.0,,
16,2048,-0.8977214097976685,270.5542793273926,0.0,-210.63014241644265,0.0
17,2176,0.15683943033218384,194.51066970825195,0.0,-210.63014241644265,0.0
18,2304,-0.44581133127212524,107.12731742858887,0.0,-210.63014241644265,0.0
19,2432,-0.9126487970352173,410.24817657470703,0.0,-210.63014241644265,0.0
20,2560,0.3715592920780182,88.5797119140625,0.0,-210.63014241644265,0.0
21,2688,-1.5706384181976318,615.61962890625,0.0,-210.63014241644265,0.0
22,2816,-0.8383607864379883,197.6146697998047,0.0,-210.63014241644265,0.0
23,2944,-0.9582751989364624,237.21923446655273,0.0,-210.63014241644265,0.0
24,3072,-1.1217315196990967,344.9429931640625,0.0,-210.63014241644265,0.0
25,3200,-2.045992612838745,950.7823791503906,0.0,-210.63014241644265,0.0
26,3328,-0.3245876729488373,179.01056671142578,0.0,-210.63014241644265,0.0
27,3456,-0.8742694854736328,508.72547912597656,0.0,-210.63014241644265,0.0
28,3584,0.04114195704460144,183.24302673339844,0.0,-210.63014241644265,0.0
29,3712,-0.2183288335800171,121.60380554199219,0.0,-210.63014241644265,0.0
30,3840,-1.3191747665405273,668.8451385498047,0.0,-210.63014241644265,0.0
31,3968,0.10115128755569458,301.6502227783203,0.0,-210.63014241644265,0.0
32,4096,-1.2629365921020508,362.44793701171875,0.0,-422.07276919163274,0.0
33,4224,0.058546990156173706,91.41383743286133,0.0,-422.07276919163274,0.0
34,4352,-0.7086905241012573,232.44506072998047,0.0,-422.07276919163274,0.0
35,4480,-0.5984940528869629,131.2419776916504,0.0,-422.07276919163274,0.0
36,4608,-0.3345188498497009,144.67688941955566,0.0,-422.07276919163274,0.0
37,4736,-1.1841211318969727,416.5977249145508,0.0,-422.07276919163274,0.0
38,4864,-0.972785234451294,404.0708541870117,0.0,-422.07276919163274,0.0
39,4992,-1.1577075719833374,388.25341796875,0.0,-422.07276919163274,0.0
40,5120,-1.1737687587738037,444.79944610595703,0.0,-422.07276919163274,0.0
41,5248,-1.0549280643463135,254.13054275512695,0.0,-422.07276919163274,0.0
42,5376,-0.5101020932197571,254.09417724609375,0.0,-422.07276919163274,0.0
43,5504,-0.7440913915634155,176.51224899291992,0.0,-422.07276919163274,0.0
44,5632,-0.5441235899925232,273.87854766845703,0.0,-422.07276919163274,0.0
45,5760,-0.8846610188484192,157.25030517578125,0.0,-422.07276919163274,0.0
46,5888,-0.8448436856269836,179.3584442138672,0.0,-422.07276919163274,0.0
47,6016,0.3166096806526184,80.24534606933594,0.0,-422.07276919163274,0.0
48,6144,-0.05029775947332382,59.329463958740234,0.0,-16.59559515264033,0.5
49,6272,-0.8469802141189575,166.8527603149414,0.0,-16.59559515264033,0.5
50,6400,0.05261674150824547,167.40614318847656,0.0,-16.59559515264033,0.5
51,6528,-1.3703360557556152,336.20446014404297,0.0,-16.59559515264033,0.5
52,6656,-1.7107805013656616,521.7992477416992,0.0,-16.59559515264033,0.5
53,6784,-0.7645707726478577,182.56724166870117,0.0,-16.59559515264033,0.5
54,6912,-0.48502904176712036,129.32183074951172,0.0,-16.59559515264033,0.5
55,7040,-1.0846951007843018,334.89259338378906,0.0,-16.59559515264033,0.5
56,7168,-0.7116168737411499,252.9510383605957,0.0,-16.59559515264033,0.5
57,7296,-0.959523618221283,334.5916748046875,0.0,-16.59559515264033,0.5
58,7424,-0.5584574937820435,353.6283874511719,0.0,-16.59559515264033,0.5
59,7552,-1.0545628070831299,317.76610565185547,0.0,-16.59559515264033,0.5
60,7680,-0.058716289699077606,238.71338653564453,0.0,-16.59559515264033,0.5
61,7808,-0.31906288862228394,173.98366165161133,0.0,-16.59559515264033,0.5
62,7936,-0.8937029242515564,377.7012939453125,0.0,-16.59559515264033,0.5
63,8064,-0.360130250453949,162.27941513061523,0.0,-16.59559515264033,0.5
64,8192,0.14151427149772644,21.713150024414062,0.0,-36.112380529721705,0.5
